,Start,High,Low,Last,Drop,Recover,TotalChange,Score
MSFT,105,116,94,111,0.81,1.181,1.057,3.858
AAPL,201,232,142,173,0.612,1.218,0.861,3.303
AMZN,1789,2040,1344,1632,0.659,1.214,0.912,3.444
BRKB,1711,1882,1707,1882,0.998,1.103,1.1,4.199
FB,171,186,123,162,0.661,1.317,0.947,3.586
JNJ,133,148,123,137,0.831,1.114,1.03,3.806
JPM,115,119,92,105,0.773,1.141,0.913,3.6
GOOG,1206,1250,974,1110,0.779,1.14,0.92,3.618
GOOGL,1218,1265,984,1117,0.778,1.135,0.917,3.608
XOM,80,87,66,78,0.759,1.182,0.975,3.675
BAC,31,32,23,29,0.719,1.261,0.935,3.634
UNH,254,286,233,267,0.815,1.146,1.051,3.827
V,137,151,122,146,0.808,1.197,1.066,3.879
PG,81,100,79,100,0.975,1.266,1.235,4.451
PFE,40,46,40,43,1.0,1.075,1.075,4.15
INTC,48,53,42,52,0.875,1.238,1.083,4.071
VZ,52,61,52,57,1.0,1.096,1.096,4.192
CVX,124,127,101,119,0.795,1.178,0.96,3.728
CSCO,41,50,40,50,0.976,1.25,1.22,4.422
T,32,34,27,31,0.794,1.148,0.969,3.705
BA,349,424,294,424,0.842,1.442,1.215,4.341
HD,195,214,158,192,0.738,1.215,0.985,3.676
WFC,57,59,44,49,0.746,1.114,0.86,3.466
MRK,65,81,65,81,1.0,1.246,1.246,4.492
MA,199,225,173,223,0.769,1.289,1.121,3.948
CMCSA,35,39,33,39,0.846,1.182,1.114,3.988
KO,46,51,44,45,0.957,1.023,0.978,3.915
DIS,112,119,100,115,0.84,1.15,1.027,3.857
PEP,114,122,105,117,0.921,1.114,1.026,3.982
C,71,75,49,64,0.653,1.306,0.901,3.513
NFLX,337,384,234,363,0.609,1.551,1.077,3.846
MCD,157,191,155,183,0.987,1.181,1.166,4.321
WMT,88,106,86,100,0.811,1.163,1.136,3.921
PM,86,91,66,87,0.725,1.318,1.012,3.78
ORCL,47,52,43,52,0.827,1.209,1.106,3.969
ABT,64,76,63,76,0.984,1.206,1.188,4.362
DWDP,66,71,49,55,0.69,1.122,0.833,3.335
ADBE,246,275,205,259,0.745,1.263,1.053,3.806
IBM,143,154,108,139,0.701,1.287,0.972,3.661
UNP,148,171,128,170,0.865,1.328,1.149,4.207
MDT,90,99,82,94,0.828,1.146,1.044,3.846
ABBV,94,99,77,80,0.778,1.039,0.851,3.446
MMM,206,217,179,209,0.825,1.168,1.015,3.833
AMGN,195,209,178,188,0.852,1.056,0.964,3.724
AVGO,214,284,205,276,0.958,1.346,1.29,4.552
LLY,98,124,98,124,1.0,1.265,1.265,4.53
CRM,137,163,114,161,0.832,1.412,1.175,4.251
HON,149,162,125,153,0.772,1.224,1.027,3.795
PYPL,83,96,75,96,0.904,1.28,1.157,4.245
NKE,78,86,68,85,0.791,1.25,1.09,3.922
ACN,158,175,134,162,0.766,1.209,1.025,3.766
TXN,110,116,88,107,0.759,1.216,0.973,3.707
UTX,134,144,102,128,0.708,1.255,0.955,3.626
TMO,233,254,208,252,0.819,1.212,1.082,3.932
MO,58,66,43,52,0.652,1.209,0.897,3.41
LIN,164,174,148,174,0.902,1.176,1.061,4.041
COST,215,245,190,216,0.776,1.137,1.005,3.694
NVDA,244,289,126,159,0.436,1.262,0.652,2.786
BKNG,2011,2093,1617,1911,0.773,1.182,0.95,3.678
NEE,169,188,164,188,0.97,1.146,1.112,4.198
GE,13,14,7,10,0.5,1.429,0.769,3.198
LOW,98,117,86,106,0.735,1.233,1.082,3.785
SBUX,52,71,52,71,1.0,1.365,1.365,4.73
GILD,78,79,61,66,0.772,1.082,0.846,3.472
BMY,60,63,45,51,0.714,1.133,0.85,3.411
ANTM,251,317,248,317,0.988,1.278,1.263,4.517
COP,71,80,57,70,0.713,1.228,0.986,3.64
CVS,64,81,62,62,0.765,1.0,0.969,3.499
CAT,137,158,112,139,0.709,1.241,1.015,3.674
AMT,150,178,141,177,0.94,1.255,1.18,4.315
USB,52,55,44,51,0.8,1.159,0.981,3.74
UPS,119,125,90,110,0.72,1.222,0.924,3.586
AXP,99,114,90,107,0.789,1.189,1.081,3.848
LMT,323,350,245,307,0.7,1.253,0.95,3.603
CI,185,225,178,194,0.791,1.09,1.049,3.721
DHR,102,113,95,113,0.931,1.189,1.108,4.159
MDLZ,43,48,39,48,0.907,1.231,1.116,4.161
GS,234,243,156,196,0.642,1.256,0.838,3.378
ADP,131,153,122,153,0.931,1.254,1.168,4.284
BDX,246,264,210,250,0.795,1.19,1.016,3.796
BIIB,342,356,278,325,0.781,1.169,0.95,3.681
SYK,165,189,145,189,0.879,1.303,1.145,4.206
DUK,81,91,78,90,0.963,1.154,1.111,4.191
QCOM,64,75,49,53,0.653,1.082,0.828,3.216
CME,161,196,161,178,1.0,1.106,1.106,4.212
CELG,90,94,59,89,0.628,1.508,0.989,3.753
TJX,48,56,42,50,0.75,1.19,1.042,3.732
SLB,66,67,35,44,0.522,1.257,0.667,2.968
CB,138,140,120,135,0.857,1.125,0.978,3.817
ISRG,511,575,435,552,0.757,1.269,1.08,3.863
CHTR,297,351,274,350,0.923,1.277,1.178,4.301
CSX,70,76,59,73,0.776,1.237,1.043,3.832
PNC,145,146,110,124,0.753,1.127,0.855,3.488
INTU,203,251,183,251,0.901,1.372,1.236,4.41
WBA,66,86,65,70,0.756,1.077,1.061,3.65
CL,66,69,58,67,0.841,1.155,1.015,3.852
D,70,77,68,75,0.883,1.103,1.071,3.94
SPG,177,191,161,184,0.843,1.143,1.04,3.869
BSX,33,41,32,41,0.97,1.281,1.242,4.463
EOG,125,132,83,96,0.629,1.157,0.768,3.183
SCHW,50,52,38,46,0.731,1.211,0.92,3.593
RTN,196,209,147,187,0.703,1.272,0.954,3.632
FOXA,45,51,44,51,0.978,1.159,1.133,4.248
BLK,474,489,362,437,0.74,1.207,0.922,3.609
DE,141,166,130,166,0.922,1.277,1.177,4.298
GM,37,40,31,40,0.838,1.29,1.081,4.047
SO,48,50,43,50,0.896,1.163,1.042,3.997
MS,50,50,37,42,0.74,1.135,0.84,3.455
OXY,82,83,57,66,0.687,1.158,0.805,3.337
NSC,167,187,140,183,0.749,1.307,1.096,3.901
SPGI,197,215,159,202,0.74,1.27,1.025,3.775
CCI,112,120,104,120,0.929,1.154,1.071,4.083
BK,53,54,44,53,0.83,1.205,1.0,3.865
ITW,138,148,119,145,0.804,1.218,1.051,3.877
MU,52,53,29,43,0.547,1.483,0.827,3.404
EXC,42,49,42,49,1.0,1.167,1.167,4.334
MMC,83,93,76,93,0.916,1.224,1.12,4.176
VRTX,175,195,152,186,0.869,1.224,1.063,4.025
NOC,298,320,226,289,0.706,1.279,0.97,3.661
AGN,183,195,130,137,0.667,1.054,0.749,3.137
ZTS,86,95,79,95,0.832,1.203,1.105,3.972
FDX,240,257,153,180,0.595,1.176,0.75,3.116
GD,194,207,148,173,0.715,1.169,0.892,3.491
PLD,66,72,56,72,0.848,1.286,1.091,4.073
ILMN,321,369,272,301,0.737,1.107,0.938,3.519
MPC,80,87,54,65,0.621,1.204,0.812,3.258
ECL,144,167,138,167,0.958,1.21,1.16,4.286
EMR,71,79,55,69,0.696,1.255,0.972,3.619
WM,90,100,84,100,0.933,1.19,1.111,4.167
HUM,319,354,270,310,0.763,1.148,0.972,3.646
ICE,73,82,71,75,0.866,1.056,1.027,3.815
PGR,60,73,57,72,0.781,1.263,1.2,4.025
KMB,112,120,102,119,0.85,1.167,1.062,3.929
CTSH,75,79,60,72,0.759,1.2,0.96,3.678
AON,142,173,137,172,0.965,1.255,1.211,4.396
NOW,177,235,149,235,0.842,1.577,1.328,4.589
PSX,122,123,78,97,0.634,1.244,0.795,3.307
BBT,51,53,41,51,0.774,1.244,1.0,3.792
AEP,70,82,69,82,0.986,1.188,1.171,4.331
TSLA,328,380,251,295,0.661,1.175,0.899,3.396
APD,161,180,149,180,0.925,1.208,1.118,4.176
COF,95,101,71,81,0.703,1.141,0.853,3.4
