,Date,Open,Close
0,2007-01-03,48.0,47.0
1,2007-01-04,48.0,46.0
2,2007-01-05,46.0,45.0
3,2007-01-08,45.0,46.0
4,2007-01-09,46.0,46.0
5,2007-01-10,46.0,46.0
6,2007-01-11,46.0,48.0
7,2007-01-12,48.0,50.0
8,2007-01-16,50.0,50.0
9,2007-01-17,50.0,50.0
10,2007-01-18,49.0,50.0
11,2007-01-19,50.0,49.0
12,2007-01-22,50.0,48.0
13,2007-01-23,48.0,50.0
14,2007-01-24,49.0,49.0
15,2007-01-25,49.0,49.0
16,2007-01-26,49.0,49.0
17,2007-01-29,49.0,49.0
18,2007-01-30,49.0,50.0
19,2007-01-31,50.0,50.0
20,2007-02-01,50.0,52.0
21,2007-02-02,52.0,52.0
22,2007-02-05,52.0,52.0
23,2007-02-06,52.0,52.0
24,2007-02-07,52.0,52.0
25,2007-02-08,52.0,51.0
26,2007-02-09,52.0,51.0
27,2007-02-12,51.0,52.0
28,2007-02-13,52.0,51.0
29,2007-02-14,54.0,56.0
30,2007-02-15,56.0,57.0
31,2007-02-16,56.0,57.0
32,2007-02-20,57.0,57.0
33,2007-02-21,57.0,58.0
34,2007-02-22,58.0,57.0
35,2007-02-23,57.0,57.0
36,2007-02-26,57.0,57.0
37,2007-02-27,55.0,54.0
38,2007-02-28,54.0,54.0
39,2007-03-01,53.0,54.0
40,2007-03-02,54.0,53.0
41,2007-03-05,52.0,52.0
42,2007-03-06,53.0,54.0
43,2007-03-07,55.0,55.0
44,2007-03-08,56.0,55.0
45,2007-03-09,56.0,56.0
46,2007-03-12,56.0,57.0
47,2007-03-13,56.0,55.0
48,2007-03-14,55.0,55.0
49,2007-03-15,55.0,55.0
50,2007-03-16,55.0,55.0
51,2007-03-19,55.0,56.0
52,2007-03-20,56.0,56.0
53,2007-03-21,56.0,58.0
54,2007-03-22,57.0,56.0
55,2007-03-23,57.0,56.0
56,2007-03-26,56.0,55.0
57,2007-03-27,55.0,54.0
58,2007-03-28,54.0,53.0
59,2007-03-29,54.0,54.0
60,2007-03-30,54.0,54.0
61,2007-04-02,54.0,52.0
62,2007-04-03,53.0,53.0
63,2007-04-04,53.0,54.0
64,2007-04-05,53.0,54.0
65,2007-04-09,54.0,54.0
66,2007-04-10,54.0,54.0
67,2007-04-11,55.0,54.0
68,2007-04-12,54.0,54.0
69,2007-04-13,54.0,54.0
70,2007-04-16,55.0,55.0
71,2007-04-17,55.0,56.0
72,2007-04-18,56.0,56.0
73,2007-04-19,56.0,55.0
74,2007-04-20,57.0,56.0
75,2007-04-23,56.0,56.0
76,2007-04-24,57.0,56.0
77,2007-04-25,57.0,57.0
78,2007-04-26,57.0,57.0
79,2007-04-27,56.0,56.0
80,2007-04-30,56.0,55.0
81,2007-05-01,55.0,54.0
82,2007-05-02,55.0,56.0
83,2007-05-03,57.0,57.0
84,2007-05-04,57.0,57.0
85,2007-05-07,57.0,58.0
86,2007-05-08,58.0,58.0
87,2007-05-09,58.0,59.0
88,2007-05-10,59.0,59.0
89,2007-05-11,59.0,60.0
90,2007-05-14,60.0,60.0
91,2007-05-15,60.0,60.0
92,2007-05-16,62.0,59.0
93,2007-05-17,59.0,59.0
94,2007-05-18,59.0,58.0
95,2007-05-21,58.0,59.0
96,2007-05-22,60.0,59.0
97,2007-05-23,59.0,58.0
98,2007-05-24,58.0,57.0
99,2007-05-25,57.0,57.0
100,2007-05-29,57.0,58.0
101,2007-05-30,57.0,60.0
102,2007-05-31,60.0,60.0
103,2007-06-01,60.0,60.0
104,2007-06-04,59.0,60.0
105,2007-06-05,60.0,60.0
106,2007-06-06,60.0,59.0
107,2007-06-07,58.0,57.0
108,2007-06-08,57.0,58.0
109,2007-06-11,58.0,58.0
110,2007-06-12,57.0,58.0
111,2007-06-13,59.0,60.0
112,2007-06-14,60.0,60.0
113,2007-06-15,61.0,61.0
114,2007-06-18,61.0,61.0
115,2007-06-19,61.0,61.0
116,2007-06-20,61.0,61.0
117,2007-06-21,61.0,62.0
118,2007-06-22,62.0,62.0
119,2007-06-25,62.0,61.0
120,2007-06-26,62.0,60.0
121,2007-06-27,60.0,61.0
122,2007-06-28,61.0,60.0
123,2007-06-29,60.0,60.0
124,2007-07-02,61.0,62.0
125,2007-07-03,61.0,61.0
126,2007-07-05,61.0,62.0
127,2007-07-06,62.0,62.0
128,2007-07-09,62.0,63.0
129,2007-07-10,62.0,62.0
130,2007-07-11,62.0,63.0
131,2007-07-12,63.0,64.0
132,2007-07-13,64.0,66.0
133,2007-07-16,66.0,66.0
134,2007-07-17,66.0,65.0
135,2007-07-18,65.0,65.0
136,2007-07-19,66.0,67.0
137,2007-07-20,65.0,65.0
138,2007-07-23,66.0,64.0
139,2007-07-24,64.0,63.0
140,2007-07-25,64.0,62.0
141,2007-07-26,61.0,61.0
142,2007-07-27,60.0,59.0
143,2007-07-30,61.0,61.0
144,2007-07-31,63.0,60.0
145,2007-08-01,60.0,60.0
146,2007-08-02,61.0,60.0
147,2007-08-03,60.0,59.0
148,2007-08-06,59.0,60.0
149,2007-08-07,60.0,62.0
150,2007-08-08,61.0,62.0
151,2007-08-09,62.0,60.0
152,2007-08-10,59.0,59.0
153,2007-08-13,59.0,59.0
154,2007-08-14,60.0,59.0
155,2007-08-15,60.0,60.0
156,2007-08-16,60.0,60.0
157,2007-08-17,62.0,62.0
158,2007-08-20,63.0,64.0
159,2007-08-21,64.0,65.0
160,2007-08-22,65.0,65.0
161,2007-08-23,66.0,64.0
162,2007-08-24,64.0,65.0
163,2007-08-27,65.0,65.0
164,2007-08-28,65.0,63.0
165,2007-08-29,64.0,66.0
166,2007-08-30,65.0,66.0
167,2007-08-31,67.0,68.0
168,2007-09-04,68.0,69.0
169,2007-09-05,69.0,69.0
170,2007-09-06,69.0,68.0
171,2007-09-07,67.0,68.0
172,2007-09-10,68.0,68.0
173,2007-09-11,69.0,69.0
174,2007-09-12,69.0,69.0
175,2007-09-13,69.0,69.0
176,2007-09-14,68.0,69.0
177,2007-09-17,69.0,70.0
178,2007-09-18,70.0,73.0
179,2007-09-19,74.0,73.0
180,2007-09-20,72.0,72.0
181,2007-09-21,73.0,74.0
182,2007-09-24,73.0,73.0
183,2007-09-25,72.0,71.0
184,2007-09-26,72.0,73.0
185,2007-09-27,73.0,74.0
186,2007-09-28,74.0,74.0
187,2007-10-01,74.0,75.0
188,2007-10-02,76.0,74.0
189,2007-10-03,74.0,73.0
190,2007-10-04,73.0,74.0
191,2007-10-05,74.0,74.0
192,2007-10-08,74.0,74.0
193,2007-10-09,75.0,76.0
194,2007-10-10,75.0,77.0
195,2007-10-11,78.0,76.0
196,2007-10-12,77.0,77.0
197,2007-10-15,77.0,77.0
198,2007-10-16,77.0,76.0
199,2007-10-17,77.0,75.0
200,2007-10-18,75.0,76.0
201,2007-10-19,76.0,73.0
202,2007-10-22,71.0,72.0
203,2007-10-23,74.0,75.0
204,2007-10-24,74.0,74.0
205,2007-10-25,74.0,74.0
206,2007-10-26,74.0,73.0
207,2007-10-29,73.0,75.0
208,2007-10-30,78.0,75.0
209,2007-10-31,76.0,77.0
210,2007-11-01,76.0,75.0
211,2007-11-02,76.0,76.0
212,2007-11-05,75.0,77.0
213,2007-11-06,77.0,80.0
214,2007-11-07,80.0,77.0
215,2007-11-08,77.0,79.0
216,2007-11-09,78.0,77.0
217,2007-11-12,77.0,71.0
218,2007-11-13,72.0,73.0
219,2007-11-14,74.0,74.0
220,2007-11-15,74.0,71.0
221,2007-11-16,72.0,73.0
222,2007-11-19,72.0,71.0
223,2007-11-20,72.0,72.0
224,2007-11-21,73.0,76.0
225,2007-11-23,78.0,78.0
226,2007-11-26,80.0,79.0
227,2007-11-27,80.0,81.0
228,2007-11-28,81.0,85.0
229,2007-11-29,84.0,85.0
230,2007-11-30,85.0,86.0
231,2007-12-03,86.0,89.0
232,2007-12-04,88.0,88.0
233,2007-12-05,89.0,89.0
234,2007-12-06,89.0,90.0
235,2007-12-07,90.0,88.0
236,2007-12-10,88.0,89.0
237,2007-12-11,89.0,85.0
238,2007-12-12,88.0,88.0
239,2007-12-13,88.0,89.0
240,2007-12-14,89.0,87.0
241,2007-12-17,86.0,84.0
242,2007-12-18,85.0,84.0
243,2007-12-19,85.0,84.0
244,2007-12-20,85.0,87.0
245,2007-12-21,87.0,90.0
246,2007-12-24,91.0,92.0
247,2007-12-26,91.0,93.0
248,2007-12-27,91.0,90.0
249,2007-12-28,92.0,92.0
250,2007-12-31,92.0,93.0
251,2008-01-02,94.0,90.0
252,2008-01-03,91.0,94.0
253,2008-01-04,93.0,90.0
254,2008-01-07,91.0,88.0
255,2008-01-08,89.0,88.0
256,2008-01-09,88.0,88.0
257,2008-01-10,87.0,90.0
258,2008-01-11,90.0,89.0
259,2008-01-14,90.0,95.0
260,2008-01-15,93.0,92.0
261,2008-01-16,92.0,88.0
262,2008-01-17,88.0,79.0
263,2008-01-18,80.0,76.0
264,2008-01-22,72.0,83.0
265,2008-01-23,79.0,83.0
266,2008-01-24,84.0,83.0
267,2008-01-25,84.0,83.0
268,2008-01-28,81.0,85.0
269,2008-01-29,87.0,87.0
270,2008-01-30,87.0,86.0
271,2008-01-31,85.0,88.0
272,2008-02-01,88.0,89.0
273,2008-02-04,90.0,88.0
274,2008-02-05,87.0,83.0
275,2008-02-06,84.0,83.0
276,2008-02-07,82.0,82.0
277,2008-02-08,82.0,82.0
278,2008-02-11,83.0,84.0
279,2008-02-12,85.0,86.0
280,2008-02-13,87.0,86.0
281,2008-02-14,87.0,86.0
282,2008-02-15,86.0,85.0
283,2008-02-19,86.0,83.0
284,2008-02-20,83.0,86.0
285,2008-02-21,86.0,86.0
286,2008-02-22,86.0,87.0
287,2008-02-25,87.0,89.0
288,2008-02-26,89.0,87.0
289,2008-02-27,87.0,86.0
290,2008-02-28,86.0,87.0
291,2008-02-29,87.0,85.0
292,2008-03-03,85.0,88.0
293,2008-03-04,87.0,87.0
294,2008-03-05,87.0,89.0
295,2008-03-06,89.0,88.0
296,2008-03-07,87.0,83.0
297,2008-03-10,83.0,81.0
298,2008-03-11,83.0,86.0
299,2008-03-12,86.0,84.0
300,2008-03-13,82.0,84.0
301,2008-03-14,85.0,83.0
302,2008-03-17,80.0,81.0
303,2008-03-18,84.0,83.0
304,2008-03-19,83.0,79.0
305,2008-03-20,79.0,79.0
306,2008-03-24,80.0,81.0
307,2008-03-25,83.0,82.0
308,2008-03-26,82.0,81.0
309,2008-03-27,80.0,79.0
310,2008-03-28,80.0,80.0
311,2008-03-31,80.0,80.0
312,2008-04-01,82.0,81.0
313,2008-04-02,81.0,80.0
314,2008-04-03,80.0,83.0
315,2008-04-04,83.0,86.0
316,2008-04-07,86.0,88.0
317,2008-04-08,88.0,89.0
318,2008-04-09,89.0,87.0
319,2008-04-10,87.0,87.0
320,2008-04-11,85.0,86.0
321,2008-04-14,86.0,86.0
322,2008-04-15,87.0,86.0
323,2008-04-16,87.0,90.0
324,2008-04-17,90.0,90.0
325,2008-04-18,91.0,93.0
326,2008-04-21,93.0,93.0
327,2008-04-22,94.0,92.0
328,2008-04-23,92.0,90.0
329,2008-04-24,90.0,89.0
330,2008-04-25,90.0,90.0
331,2008-04-28,91.0,90.0
332,2008-04-29,89.0,84.0
333,2008-04-30,84.0,84.0
334,2008-05-01,84.0,84.0
335,2008-05-02,86.0,85.0
336,2008-05-05,85.0,84.0
337,2008-05-06,84.0,86.0
338,2008-05-07,86.0,85.0
339,2008-05-08,85.0,87.0
340,2008-05-09,87.0,86.0
341,2008-05-12,88.0,89.0
342,2008-05-13,90.0,90.0
343,2008-05-14,85.0,81.0
344,2008-05-15,82.0,84.0
345,2008-05-16,84.0,84.0
346,2008-05-19,84.0,81.0
347,2008-05-20,81.0,82.0
348,2008-05-21,82.0,82.0
349,2008-05-22,82.0,81.0
350,2008-05-23,81.0,80.0
351,2008-05-27,80.0,80.0
352,2008-05-28,80.0,83.0
353,2008-05-29,82.0,81.0
354,2008-05-30,82.0,81.0
355,2008-06-02,81.0,81.0
356,2008-06-03,81.0,81.0
357,2008-06-04,80.0,81.0
358,2008-06-05,81.0,83.0
359,2008-06-06,82.0,81.0
360,2008-06-09,82.0,82.0
361,2008-06-10,81.0,82.0
362,2008-06-11,82.0,79.0
363,2008-06-12,80.0,78.0
364,2008-06-13,79.0,78.0
365,2008-06-16,79.0,81.0
366,2008-06-17,81.0,79.0
367,2008-06-18,79.0,78.0
368,2008-06-19,78.0,78.0
369,2008-06-20,78.0,76.0
370,2008-06-23,77.0,77.0
371,2008-06-24,77.0,75.0
372,2008-06-25,75.0,74.0
373,2008-06-26,72.0,72.0
374,2008-06-27,71.0,71.0
375,2008-06-30,71.0,72.0
376,2008-07-01,71.0,73.0
377,2008-07-02,74.0,70.0
378,2008-07-03,70.0,68.0
379,2008-07-07,69.0,70.0
380,2008-07-08,69.0,67.0
381,2008-07-09,68.0,64.0
382,2008-07-10,64.0,66.0
383,2008-07-11,65.0,65.0
384,2008-07-14,66.0,67.0
385,2008-07-15,66.0,65.0
386,2008-07-16,65.0,65.0
387,2008-07-17,66.0,68.0
388,2008-07-18,68.0,67.0
389,2008-07-21,68.0,71.0
390,2008-07-22,71.0,71.0
391,2008-07-23,72.0,72.0
392,2008-07-24,72.0,68.0
393,2008-07-25,68.0,69.0
394,2008-07-28,69.0,70.0
395,2008-07-29,71.0,71.0
