,Date,Open,Close
0,2012-05-18,42.0,38.0
1,2012-05-21,37.0,34.0
2,2012-05-22,33.0,31.0
3,2012-05-23,31.0,32.0
4,2012-05-24,33.0,33.0
5,2012-05-25,33.0,32.0
6,2012-05-29,31.0,29.0
7,2012-05-30,29.0,28.0
8,2012-05-31,29.0,30.0
9,2012-06-01,29.0,28.0
10,2012-06-04,27.0,27.0
11,2012-06-05,27.0,26.0
12,2012-06-06,26.0,27.0
13,2012-06-07,27.0,26.0
14,2012-06-08,27.0,27.0
15,2012-06-11,27.0,27.0
16,2012-06-12,27.0,27.0
17,2012-06-13,28.0,27.0
18,2012-06-14,28.0,28.0
19,2012-06-15,29.0,30.0
20,2012-06-18,30.0,31.0
21,2012-06-19,32.0,32.0
22,2012-06-20,32.0,32.0
23,2012-06-21,32.0,32.0
24,2012-06-22,32.0,33.0
25,2012-06-25,33.0,32.0
26,2012-06-26,33.0,33.0
27,2012-06-27,32.0,32.0
28,2012-06-28,32.0,31.0
29,2012-06-29,32.0,31.0
30,2012-07-02,31.0,31.0
31,2012-07-03,31.0,31.0
32,2012-07-05,31.0,31.0
33,2012-07-06,31.0,32.0
34,2012-07-09,32.0,32.0
35,2012-07-10,32.0,31.0
36,2012-07-11,31.0,31.0
37,2012-07-12,31.0,31.0
38,2012-07-13,31.0,31.0
39,2012-07-16,30.0,28.0
40,2012-07-17,28.0,28.0
41,2012-07-18,28.0,29.0
42,2012-07-19,29.0,29.0
43,2012-07-20,29.0,29.0
44,2012-07-23,28.0,29.0
45,2012-07-24,29.0,28.0
46,2012-07-25,28.0,29.0
47,2012-07-26,28.0,27.0
48,2012-07-27,23.0,24.0
49,2012-07-30,24.0,23.0
50,2012-07-31,23.0,22.0
51,2012-08-01,22.0,21.0
52,2012-08-02,21.0,20.0
53,2012-08-03,20.0,21.0
54,2012-08-06,21.0,22.0
55,2012-08-07,22.0,21.0
56,2012-08-08,21.0,21.0
57,2012-08-09,21.0,21.0
58,2012-08-10,21.0,22.0
59,2012-08-13,22.0,22.0
60,2012-08-14,21.0,20.0
61,2012-08-15,21.0,21.0
62,2012-08-16,20.0,20.0
63,2012-08-17,20.0,19.0
64,2012-08-20,19.0,20.0
65,2012-08-21,20.0,19.0
66,2012-08-22,19.0,19.0
67,2012-08-23,20.0,19.0
68,2012-08-24,20.0,19.0
69,2012-08-27,19.0,19.0
70,2012-08-28,19.0,19.0
71,2012-08-29,19.0,19.0
72,2012-08-30,19.0,19.0
73,2012-08-31,19.0,18.0
74,2012-09-04,18.0,18.0
75,2012-09-05,18.0,19.0
76,2012-09-06,19.0,19.0
77,2012-09-07,19.0,19.0
78,2012-09-10,19.0,19.0
79,2012-09-11,19.0,19.0
80,2012-09-12,21.0,21.0
81,2012-09-13,21.0,21.0
82,2012-09-14,21.0,22.0
83,2012-09-17,23.0,22.0
84,2012-09-18,22.0,22.0
85,2012-09-19,22.0,23.0
86,2012-09-20,23.0,23.0
87,2012-09-21,23.0,23.0
88,2012-09-24,22.0,21.0
89,2012-09-25,21.0,20.0
90,2012-09-26,20.0,21.0
91,2012-09-27,21.0,20.0
92,2012-09-28,21.0,22.0
93,2012-10-01,22.0,22.0
94,2012-10-02,22.0,22.0
95,2012-10-03,22.0,22.0
96,2012-10-04,22.0,22.0
97,2012-10-05,21.0,21.0
98,2012-10-08,20.0,20.0
99,2012-10-09,20.0,20.0
100,2012-10-10,20.0,20.0
101,2012-10-11,20.0,20.0
102,2012-10-12,20.0,20.0
103,2012-10-15,20.0,20.0
104,2012-10-16,20.0,19.0
105,2012-10-17,20.0,20.0
106,2012-10-18,20.0,19.0
107,2012-10-19,19.0,19.0
108,2012-10-22,19.0,19.0
109,2012-10-23,19.0,20.0
110,2012-10-24,24.0,23.0
111,2012-10-25,23.0,23.0
112,2012-10-26,22.0,22.0
113,2012-10-31,21.0,21.0
114,2012-11-01,21.0,21.0
115,2012-11-02,21.0,21.0
116,2012-11-05,21.0,21.0
117,2012-11-06,21.0,21.0
118,2012-11-07,21.0,20.0
119,2012-11-08,21.0,20.0
120,2012-11-09,20.0,19.0
121,2012-11-12,19.0,20.0
122,2012-11-13,20.0,20.0
123,2012-11-14,20.0,22.0
124,2012-11-15,22.0,22.0
125,2012-11-16,22.0,24.0
126,2012-11-19,24.0,23.0
127,2012-11-20,23.0,23.0
128,2012-11-21,23.0,24.0
129,2012-11-23,25.0,24.0
130,2012-11-26,25.0,26.0
131,2012-11-27,26.0,26.0
132,2012-11-28,26.0,26.0
133,2012-11-29,26.0,27.0
