,Date,Open,Adj Close
0,2007-01-03,32.0,31.0
1,2007-01-04,31.0,32.0
2,2007-01-05,32.0,31.0
3,2007-01-08,31.0,30.0
4,2007-01-09,30.0,30.0
5,2007-01-10,30.0,29.0
6,2007-01-11,29.0,30.0
7,2007-01-12,31.0,31.0
8,2007-01-16,32.0,31.0
9,2007-01-17,31.0,32.0
10,2007-01-18,32.0,31.0
11,2007-01-19,31.0,31.0
12,2007-01-22,32.0,32.0
13,2007-01-23,32.0,33.0
14,2007-01-24,33.0,32.0
15,2007-01-25,32.0,32.0
16,2007-01-26,32.0,32.0
17,2007-01-29,32.0,33.0
18,2007-01-30,32.0,33.0
19,2007-01-31,33.0,33.0
20,2007-02-01,33.0,33.0
21,2007-02-02,38.0,39.0
22,2007-02-05,39.0,38.0
23,2007-02-06,38.0,38.0
24,2007-02-07,38.0,38.0
25,2007-02-08,38.0,38.0
26,2007-02-09,38.0,37.0
27,2007-02-12,37.0,38.0
28,2007-02-13,38.0,38.0
29,2007-02-14,38.0,38.0
30,2007-02-15,38.0,38.0
31,2007-02-16,37.0,38.0
32,2007-02-20,38.0,38.0
33,2007-02-21,38.0,38.0
34,2007-02-22,38.0,38.0
35,2007-02-23,38.0,38.0
36,2007-02-26,38.0,38.0
37,2007-02-27,37.0,37.0
38,2007-02-28,37.0,37.0
39,2007-03-01,36.0,36.0
40,2007-03-02,36.0,36.0
41,2007-03-05,35.0,35.0
42,2007-03-06,35.0,36.0
43,2007-03-07,36.0,36.0
44,2007-03-08,36.0,37.0
45,2007-03-09,37.0,37.0
46,2007-03-12,37.0,37.0
47,2007-03-13,36.0,36.0
48,2007-03-14,36.0,36.0
49,2007-03-15,36.0,37.0
50,2007-03-16,37.0,37.0
51,2007-03-19,38.0,38.0
52,2007-03-20,38.0,39.0
53,2007-03-21,39.0,39.0
54,2007-03-22,39.0,40.0
55,2007-03-23,40.0,41.0
56,2007-03-26,41.0,41.0
57,2007-03-27,41.0,41.0
58,2007-03-28,41.0,41.0
59,2007-03-29,41.0,41.0
60,2007-03-30,41.0,41.0
61,2007-04-02,40.0,41.0
62,2007-04-03,41.0,41.0
63,2007-04-04,41.0,42.0
64,2007-04-05,42.0,42.0
65,2007-04-09,41.0,41.0
66,2007-04-10,41.0,41.0
