,Date,Open,Close
0,2008-03-17,50.0,49.0
1,2008-03-18,50.0,50.0
2,2008-03-19,50.0,50.0
3,2008-03-20,50.0,49.0
4,2008-03-24,50.0,51.0
5,2008-03-25,51.0,52.0
6,2008-03-26,52.0,50.0
7,2008-03-27,51.0,51.0
8,2008-03-28,51.0,51.0
9,2008-03-31,52.0,51.0
10,2008-04-01,51.0,51.0
11,2008-04-02,51.0,51.0
12,2008-04-03,51.0,51.0
13,2008-04-04,51.0,51.0
14,2008-04-07,52.0,51.0
15,2008-04-08,50.0,51.0
16,2008-04-09,50.0,49.0
17,2008-04-10,49.0,49.0
18,2008-04-11,48.0,48.0
19,2008-04-14,48.0,48.0
20,2008-04-15,48.0,48.0
21,2008-04-16,48.0,49.0
22,2008-04-17,50.0,50.0
23,2008-04-18,50.0,50.0
24,2008-04-21,50.0,51.0
25,2008-04-22,51.0,50.0
26,2008-04-23,51.0,52.0
27,2008-04-24,52.0,52.0
28,2008-04-25,52.0,51.0
29,2008-04-28,51.0,51.0
30,2008-04-29,51.0,52.0
31,2008-04-30,52.0,51.0
32,2008-05-01,51.0,51.0
33,2008-05-02,51.0,51.0
34,2008-05-05,51.0,51.0
35,2008-05-06,51.0,52.0
36,2008-05-07,52.0,52.0
37,2008-05-08,52.0,52.0
38,2008-05-09,52.0,52.0
39,2008-05-12,52.0,52.0
40,2008-05-13,52.0,52.0
41,2008-05-14,53.0,53.0
42,2008-05-15,53.0,53.0
43,2008-05-16,53.0,53.0
44,2008-05-19,53.0,54.0
45,2008-05-20,53.0,53.0
46,2008-05-21,53.0,52.0
47,2008-05-22,52.0,52.0
48,2008-05-23,52.0,52.0
49,2008-05-27,52.0,52.0
50,2008-05-28,52.0,51.0
51,2008-05-29,51.0,52.0
52,2008-05-30,52.0,53.0
53,2008-06-02,52.0,52.0
54,2008-06-03,52.0,52.0
55,2008-06-04,52.0,52.0
56,2008-06-05,52.0,52.0
57,2008-06-06,52.0,50.0
58,2008-06-09,51.0,49.0
59,2008-06-10,49.0,49.0
60,2008-06-11,49.0,50.0
61,2008-06-12,50.0,51.0
62,2008-06-13,51.0,52.0
63,2008-06-16,51.0,51.0
64,2008-06-17,51.0,51.0
65,2008-06-18,50.0,50.0
66,2008-06-19,50.0,50.0
67,2008-06-20,50.0,50.0
68,2008-06-23,50.0,51.0
69,2008-06-24,50.0,51.0
70,2008-06-25,51.0,52.0
71,2008-06-26,51.0,50.0
72,2008-06-27,50.0,50.0
73,2008-06-30,50.0,49.0
74,2008-07-01,49.0,50.0
75,2008-07-02,50.0,51.0
76,2008-07-03,51.0,51.0
77,2008-07-07,51.0,52.0
78,2008-07-08,52.0,54.0
79,2008-07-09,54.0,54.0
80,2008-07-10,54.0,53.0
81,2008-07-11,53.0,53.0
82,2008-07-14,53.0,54.0
83,2008-07-15,53.0,53.0
84,2008-07-16,53.0,53.0
85,2008-07-17,53.0,51.0
86,2008-07-18,51.0,51.0
87,2008-07-21,51.0,50.0
88,2008-07-22,50.0,52.0
89,2008-07-23,53.0,51.0
90,2008-07-24,51.0,52.0
91,2008-07-25,52.0,53.0
92,2008-07-28,53.0,53.0
93,2008-07-29,53.0,53.0
94,2008-07-30,54.0,53.0
95,2008-07-31,53.0,52.0
96,2008-08-01,52.0,52.0
97,2008-08-04,52.0,54.0
98,2008-08-05,54.0,55.0
99,2008-08-06,55.0,56.0
100,2008-08-07,55.0,55.0
101,2008-08-08,54.0,55.0
102,2008-08-11,55.0,56.0
103,2008-08-12,56.0,56.0
104,2008-08-13,56.0,56.0
105,2008-08-14,55.0,55.0
106,2008-08-15,56.0,56.0
107,2008-08-18,56.0,55.0
108,2008-08-19,55.0,55.0
109,2008-08-20,55.0,55.0
110,2008-08-21,54.0,55.0
111,2008-08-22,55.0,56.0
112,2008-08-25,55.0,55.0
113,2008-08-26,55.0,55.0
114,2008-08-27,55.0,54.0
115,2008-08-28,54.0,54.0
116,2008-08-29,54.0,54.0
117,2008-09-02,54.0,55.0
118,2008-09-03,55.0,54.0
119,2008-09-04,54.0,53.0
120,2008-09-05,53.0,54.0
121,2008-09-08,54.0,55.0
122,2008-09-09,55.0,55.0
123,2008-09-10,55.0,55.0
124,2008-09-11,54.0,55.0
125,2008-09-12,54.0,54.0
126,2008-09-15,53.0,53.0
127,2008-09-16,52.0,54.0
128,2008-09-17,53.0,49.0
129,2008-09-18,50.0,50.0
130,2008-09-19,52.0,51.0
131,2008-09-22,51.0,50.0
132,2008-09-23,50.0,49.0
133,2008-09-24,50.0,50.0
134,2008-09-25,50.0,52.0
135,2008-09-26,51.0,51.0
136,2008-09-29,51.0,47.0
137,2008-09-30,48.0,48.0
138,2008-10-01,48.0,51.0
139,2008-10-02,50.0,49.0
140,2008-10-03,50.0,50.0
141,2008-10-06,48.0,46.0
142,2008-10-07,48.0,44.0
143,2008-10-08,42.0,43.0
144,2008-10-09,44.0,39.0
145,2008-10-10,37.0,40.0
146,2008-10-13,42.0,45.0
147,2008-10-14,47.0,44.0
148,2008-10-15,44.0,41.0
149,2008-10-16,41.0,43.0
150,2008-10-17,43.0,43.0
151,2008-10-20,44.0,43.0
152,2008-10-21,43.0,42.0
153,2008-10-22,42.0,41.0
154,2008-10-23,41.0,43.0
155,2008-10-24,40.0,40.0
156,2008-10-27,40.0,39.0
157,2008-10-28,40.0,43.0
158,2008-10-29,42.0,42.0
159,2008-10-30,43.0,43.0
160,2008-10-31,42.0,43.0
161,2008-11-03,43.0,43.0
162,2008-11-04,44.0,45.0
163,2008-11-05,44.0,44.0
164,2008-11-06,44.0,41.0
165,2008-11-07,41.0,42.0
166,2008-11-10,43.0,42.0
167,2008-11-11,42.0,41.0
168,2008-11-12,41.0,39.0
169,2008-11-13,39.0,40.0
170,2008-11-14,39.0,38.0
171,2008-11-17,37.0,38.0
172,2008-11-18,38.0,39.0
173,2008-11-19,38.0,37.0
174,2008-11-20,36.0,37.0
175,2008-11-21,37.0,38.0
176,2008-11-24,39.0,42.0
177,2008-11-25,42.0,41.0
178,2008-11-26,40.0,42.0
179,2008-11-28,42.0,42.0
180,2008-12-01,41.0,40.0
181,2008-12-02,40.0,40.0
182,2008-12-03,39.0,42.0
183,2008-12-04,41.0,41.0
184,2008-12-05,40.0,42.0
185,2008-12-08,43.0,43.0
186,2008-12-09,42.0,42.0
187,2008-12-10,42.0,42.0
188,2008-12-11,42.0,42.0
189,2008-12-12,41.0,41.0
190,2008-12-15,41.0,42.0
191,2008-12-16,41.0,41.0
192,2008-12-17,40.0,42.0
193,2008-12-18,42.0,42.0
194,2008-12-19,42.0,42.0
195,2008-12-22,42.0,42.0
196,2008-12-23,41.0,42.0
197,2008-12-24,42.0,42.0
198,2008-12-26,43.0,42.0
199,2008-12-29,42.0,43.0
200,2008-12-30,43.0,44.0
201,2008-12-31,44.0,44.0
202,2009-01-02,43.0,44.0
203,2009-01-05,44.0,44.0
204,2009-01-06,44.0,43.0
205,2009-01-07,43.0,43.0
206,2009-01-08,43.0,43.0
207,2009-01-09,43.0,42.0
208,2009-01-12,42.0,42.0
209,2009-01-13,42.0,42.0
210,2009-01-14,41.0,42.0
211,2009-01-15,41.0,41.0
212,2009-01-16,42.0,42.0
213,2009-01-20,42.0,41.0
214,2009-01-21,42.0,41.0
215,2009-01-22,41.0,41.0
216,2009-01-23,41.0,41.0
217,2009-01-26,41.0,41.0
218,2009-01-27,41.0,40.0
219,2009-01-28,41.0,40.0
220,2009-01-29,40.0,39.0
