,Change,Shares,DataSize,LoseStreak,Invested,CurrentValue
AAPL,1.6641221374045803,8,1501,8,524,872
AMZN,1.0632734064907774,6,1501,9,4283,4554
JPM,1.79136690647482,3,1501,8,139,249
GOOG,1.4706071313845166,6,1501,9,3113,4578
GOOGL,1.2859504132231405,5,1501,8,3025,3890
XOM,1.0,5,1501,8,435,435
BAC,1.0246575342465754,17,1501,9,365,374
UNH,1.1107205623901582,4,1501,7,569,632
PG,0.9914675767918089,7,1501,8,586,581
PFE,0.7637231503579952,10,1501,6,419,320
CVX,0.9108312342569269,16,1501,9,1985,1808
T,0.8639240506329114,7,1501,7,316,273
BA,1.3306397306397306,13,1501,10,1485,1976
HD,1.3032581453634084,4,1501,8,399,520
WFC,1.2857142857142858,6,1501,9,252,324
MRK,0.9090909090909091,1,1501,7,66,60
KO,0.9389312977099237,6,1501,7,262,246
DIS,0.847457627118644,6,1501,9,708,600
C,1.2080924855491328,22,1501,12,1038,1254
NFLX,4.430851063829787,7,1501,8,188,833
WMT,0.8615384615384616,8,1501,9,650,560
MCD,1.091743119266055,2,1501,7,218,238
PM,0.9570552147239264,3,1501,7,326,312
ORCL,0.78,13,1501,9,650,507
ABT,0.8280871670702179,9,1501,8,413,342
DWDP,1.2121212121212122,10,1501,9,462,560
ADBE,1.1333333333333333,1,1501,7,90,102
UNP,1.2955974842767295,2,1501,7,159,206
IBM,0.8864265927977839,4,1501,9,722,640
MDT,1.7560975609756098,1,1501,7,41,72
CRM,1.136,12,1501,10,750,852
MMM,1.2693726937269372,4,1501,8,542,688
ABBV,0.7619047619047619,5,547,9,525,400
AMGN,0.9119496855345912,1,1501,7,159,145
AVGO,1.363524083985179,12,1404,11,2429,3312
HON,1.1020408163265305,1,1501,7,98,108
UTX,0.9469026548672567,3,1501,7,339,321
ACN,1.4174174174174174,4,1501,9,333,472
TMO,0.8721649484536083,3,1501,8,485,423
MO,1.4222222222222223,1,1501,7,45,64
COST,1.1875,5,1501,7,640,760
NEE,1.2921348314606742,6,1501,7,534,690
BKNG,1.5653535090007826,8,1501,8,7666,12000
GILD,1.0285714285714285,5,1501,7,350,360
LOW,1.2920353982300885,6,1501,8,339,438
CAT,0.9690721649484536,9,1501,8,873,846
COP,0.6758620689655173,6,1501,7,435,294
CVS,1.6449912126537785,12,1501,9,569,936
ANTM,2.013986013986014,2,1501,8,143,288
AMT,0.9357798165137615,3,1501,7,327,306
UPS,1.416036308623298,8,1501,8,661,936
LMT,1.6512059369202226,10,1501,9,1617,2670
AXP,0.7970479704797048,3,1501,7,271,216
MDLZ,0.7666963490650045,21,1501,10,1123,861
DHR,1.3508771929824561,2,1501,7,114,154
GS,1.444794952681388,2,1501,7,317,458
ADP,0.964824120603015,2,1501,8,199,192
BIIB,1.1328125,11,1501,8,2816,3190
DUK,0.9135802469135802,10,1501,9,810,740
QCOM,0.9041095890410958,10,1501,8,730,660
CME,1.7416974169741697,8,1501,8,542,944
ISRG,1.5320686540198736,8,1501,11,1107,1696
