,Change,Shares,DataSize,LoseStreak,Invested
MSFT,2.2186152886547923,2884,3056,2790,144290
AAPL,2.072443503892374,2853,3056,2175,238158
AMZN,1.8566552901023892,7,3056,9,6153
FB,2.0636942675159236,2,1701,7,157
JNJ,1.4397604695431472,2915,3056,2830,277376
JPM,1.597917065671441,2940,3056,2792,193189
GOOG,3.0718580017177213,29,3056,12,10479
GOOGL,2.91264667535854,26,3056,13,9971
XOM,0.8460216569119486,3017,3056,2989,278156
BAC,0.9720146572783446,2799,3056,1733,83508
UNH,3.0409276609318323,2785,3056,2266,244529
V,2.6125896014350993,2424,2752,1864,135461
PG,1.2107149702112736,2969,3056,2956,245227
PFE,1.1857294419833972,2963,3056,2898,107452
INTC,1.3985213011813018,2921,3056,2781,108609
VZ,1.1000337097589752,2977,3056,2956,154258
CVX,1.088654326123128,2991,3056,2793,326944
T,0.7113523719612934,3014,3056,2990,131347
CSCO,1.4047713868502398,2963,3056,2790,105462
BA,3.485991205654166,2857,3056,2659,347496
HD,2.2375070275479882,2902,3056,2792,249020
WFC,0.9802622775324501,2990,3056,2898,149460
MRK,1.4175675032144388,2940,3056,2415,167992
MA,3.5426644202275117,2659,3056,1971,167376
KO,0.9813968500817922,2973,3056,2933,136321
CMCSA,1.3001216061364327,2851,3056,2742,85522
DIS,1.584337895404695,2888,3056,2749,209627
PEP,1.286773850372346,2936,3056,2880,266956
C,0.6061742006615215,2749,3056,1565,290240
NFLX,13.51595744680851,7,3056,8,188
WMT,1.3353671219579837,2889,3056,2738,216345
MCD,1.7889492325855962,2898,3056,2793,296450
PM,0.9910814107124708,2690,2754,2604,236136
ORCL,1.2398433429142925,2837,3056,2630,118986
ABT,1.685905999743375,2939,3056,2858,132489
DWDP,1.0700746198924085,2915,3056,2785,149826
ADBE,5.126041666666667,19,3056,10,960
UNP,2.2059011135208033,2848,3056,2482,219484
IBM,0.8641899958000319,3005,3056,2981,483337
MDT,1.4099712836805767,2946,3056,2843,196404
CRM,2.1683501683501682,16,3056,10,1188
MMM,1.5913445271800752,2948,3056,2908,387177
ABBV,1.0724540403475407,1438,1546,1274,107268
AMGN,1.6612508159708705,2951,3056,2830,333958
AVGO,2.5943651003002097,2245,2403,1522,238833
LLY,1.8518604709989124,2952,3056,2892,197665
HON,1.7751595713532822,2972,3056,2903,256155
PYPL,1.1970074812967582,5,916,9,401
NKE,2.023687937175471,2774,3056,2614,116515
UTX,1.2822891815673645,2952,3056,2792,294673
TXN,1.9325826130227244,2940,3056,2779,162777
ACN,1.932003205457497,2902,3056,2791,243335
TMO,2.8943739702141955,2154,3056,558,187539
NVDA,5.663471490215436,2237,3056,897,62803
MO,0.9641360963663712,2983,3056,2940,160886
LIN,1.0302785627775535,44,188,23,7431
COST,1.9340897021194419,2782,3056,2662,310695
NEE,1.9764329221238366,2929,3056,2892,278609
BKNG,2.4101399924328413,10,3056,8,7929
SBUX,1.7198282598146062,2945,3056,2809,121579
GE,0.2948121719582994,2859,3056,2715,96977
GILD,1.0878049888681902,2902,3056,2682,176072
LOW,1.9267639627408832,2892,3056,2746,159102
CAT,1.4724597927682137,2881,3056,2791,271966
BMY,0.9924164625957816,2956,3056,2890,151908
COP,1.0899293238376344,2875,3056,2473,184645
CVS,0.9108368982108103,2974,3056,2866,202438
ANTM,3.077966101694915,2724,3056,2027,280545
AMT,2.0921185892612373,2906,3056,2250,245857
UPS,1.166296425356448,2921,3056,2845,275496
USB,1.110659503002418,2963,3056,2879,136057
LMT,1.9454265865203735,2897,3056,2824,457164
AXP,1.491617504114256,2897,3056,2778,207814
CI,3.375485474599969,112,3056,15,6437
MDLZ,1.0602641056422568,2944,3056,2782,133280
DHR,1.9666675148215058,2736,3056,2392,157204
GS,1.103197598695152,2809,3056,2001,499062
BDX,2.1006317689530687,2793,3056,2598,332400
ADP,2.1070826306913997,2891,3056,2660,209922
BIIB,1.2,24,3056,10,6500
DUK,1.1869167030091583,3024,3056,2990,229300
QCOM,0.8121020416546851,2984,3056,2730,194744
CME,1.8575051911804763,2950,3056,2792,282691
ISRG,3.5917039446929646,16,3056,11,2459
CB,1.3943226163176046,2914,3056,2690,282137
TJX,1.5318366456465504,2949,3056,2882,96257
CELG,1.5762942779291553,13,3056,10,734
SLB,0.5130694577035013,3017,3056,3006,258733
