,Change,Shares,DataSize,LoseStreak,Invested
MSFT,2.381188118811881,13,3056,8,606
AAPL,3.340689655172414,14,3056,8,725
AMZN,1.8566552901023892,7,3056,9,6153
FB,2.0636942675159236,2,1701,7,157
JNJ,1.0538461538461539,2,3056,8,260
JPM,1.217783505154639,9,3056,11,776
GOOG,3.0718580017177213,29,3056,12,10479
GOOGL,2.91264667535854,26,3056,13,9971
XOM,1.0263157894736843,23,3056,9,1748
BAC,1.1614518147684605,32,3056,9,799
UNH,2.305337519623234,11,3056,8,1274
PG,1.199400299850075,16,3056,9,1334
PFE,1.0308219178082192,14,3056,9,584
INTC,1.4444444444444444,1,3056,7,36
VZ,1.5405405405405406,22,3056,7,814
CVX,1.091743119266055,25,3056,9,2725
T,0.6806387225548902,22,3056,10,1002
CSCO,0.9615384615384616,3,3056,9,156
BA,3.3491311216429698,15,3056,10,1899
HD,3.1335311572700295,11,3056,10,674
WFC,0.9625,11,3056,9,560
MRK,1.3917525773195876,5,3056,7,291
MA,3.9025,7,3056,10,400
KO,1.0305343511450382,6,3056,7,262
CMCSA,1.853747714808044,52,3056,9,1094
DIS,0.9939498703543648,10,3056,9,1157
PEP,1.042316258351893,4,3056,8,449
C,0.5642448979591836,54,3056,15,6125
NFLX,13.51595744680851,7,3056,8,188
WMT,1.1655011655011656,10,3056,9,858
MCD,2.108294930875576,5,3056,8,434
PM,0.9348137535816619,15,2754,11,1396
ORCL,1.04,13,3056,9,650
ABT,1.9047619047619047,20,3056,9,798
DWDP,1.2680831826401446,51,3056,12,2212
ADBE,5.126041666666667,19,3056,10,960
UNP,1.6769420468557337,8,3056,10,811
IBM,0.8409680207433017,21,3056,9,3471
MDT,1.351129363449692,7,3056,8,487
CRM,2.1683501683501682,16,3056,10,1188
MMM,1.7173377156943304,20,3056,12,2434
ABBV,0.7619047619047619,5,1546,9,525
AMGN,1.9929328621908127,3,3056,7,283
AVGO,1.363524083985179,12,2403,11,2429
LLY,1.612293144208038,11,3056,9,846
HON,1.433479075577764,15,3056,11,1601
PYPL,1.1970074812967582,5,916,9,401
UTX,1.0420624151967435,6,3056,8,737
ACN,2.026948989412897,13,3056,9,1039
TMO,1.26,8,3056,9,1600
MO,0.6792452830188679,9,3056,9,689
COST,1.8583719391131701,13,3056,7,1511
NEE,2.520107238605898,10,3056,8,746
BKNG,2.4101399924328413,10,3056,8,7929
GE,0.35816618911174786,25,3056,8,698
GILD,0.8623693379790941,15,3056,9,1148
LOW,1.9120105587329521,41,3056,13,2273
CAT,1.5085271317829458,14,3056,8,1290
BMY,1.1147540983606556,4,3056,7,183
COP,0.9655172413793104,6,3056,7,435
CVS,1.028436018957346,21,3056,13,1266
ANTM,1.8993409227082085,10,3056,11,1669
AMT,1.6238532110091743,3,3056,7,327
UPS,1.128456735057984,23,3056,8,2242
USB,0.9161676646706587,6,3056,9,334
LMT,1.7174825174825175,16,3056,10,2860
AXP,1.1964856230031948,7,3056,9,626
CI,5.18716577540107,5,3056,8,187
MDLZ,0.9012244897959184,23,3056,10,1225
DHR,1.2492462311557788,11,3056,9,995
GS,0.9915682967959528,6,3056,7,1186
BDX,1.1177347242921014,6,3056,9,1342
ADP,1.2074408117249154,7,3056,9,887
BIIB,1.2,24,3056,10,6500
DUK,1.1853245531514582,28,3056,12,2126
QCOM,0.7549857549857549,15,3056,8,1053
CME,2.010878661087866,27,3056,10,2390
ISRG,3.5917039446929646,16,3056,11,2459
CB,0.9642857142857143,2,3056,7,280
TJX,0.9433962264150944,4,3056,7,212
CELG,1.5762942779291553,13,3056,10,734
SLB,0.6505589614136315,41,3056,16,2773
CHTR,1.6795865633074936,13,2299,10,2709
INTU,1.851422550052687,14,3056,10,1898
SYK,1.8529411764705883,12,3056,8,1224
CSX,2.382284382284382,14,3056,8,429
CL,0.8237704918032787,6,3056,8,488
PNC,0.9239940387481371,5,3056,8,671
D,1.4492753623188406,4,3056,9,207
WBA,0.8722741433021807,16,3056,9,1284
SPG,1.3244739756367663,13,3056,9,1806
BSX,2.2777777777777777,1,3056,7,18
EOG,1.075098814229249,17,3056,10,1518
SCHW,1.251700680272109,4,3056,7,147
MS,1.4634146341463414,30,3056,12,861
FOXA,1.3877551020408163,4,3056,7,147
RTN,3.8689655172413793,3,3056,7,145
BLK,1.216366672852106,15,3056,10,5389
DE,1.9889400921658986,26,3056,10,2170
GM,0.9682299546142209,16,2078,12,661
SO,0.8952551477170994,20,3056,9,1117
OXY,0.7957617829740592,33,3056,10,2737
NOC,2.156716417910448,19,3056,14,2546
NSC,2.7908496732026142,7,3056,7,459
SPGI,1.8753315649867375,14,3056,8,1508
CCI,1.6035634743875278,6,3056,8,449
BK,0.8457446808510638,12,3056,8,752
GD,1.75,14,3056,10,1384
EXC,0.9564564564564565,13,3056,8,666
VRTX,1.6689930209371884,9,3056,8,1003
MU,0.9885057471264368,2,3056,7,87
MMC,1.1953727506426735,5,3056,10,389
ZTS,1.6666666666666667,1,1525,7,57
PLD,1.3333333333333333,8,3056,9,432
MPC,1.2923976608187135,17,1928,9,855
FDX,1.1858823529411764,14,3056,8,2125
MET,0.930576070901034,14,3056,9,677
ITW,1.7644953471725124,17,3056,8,1397
