,Change,Shares,DataSize,LoseStreak,Invested,CurrentValue,LastPurchase
MSFT,2.381188118811881,13,3056,8,606,1443,2018-12-26
AAPL,3.340689655172414,14,3056,8,725,2422,2013-01-16
AMZN,1.8566552901023892,7,3056,9,6153,11424,2018-10-09
FB,2.0636942675159236,2,1701,7,157,324,2015-01-08
JNJ,1.0538461538461539,2,3056,8,260,274,2018-05-30
JPM,1.217783505154639,9,3056,11,776,945,2018-12-26
GOOG,3.0718580017177213,29,3056,12,10479,32190,2018-01-02
GOOGL,2.91264667535854,26,3056,13,9971,29042,2018-01-02
XOM,1.0263157894736843,23,3056,9,1748,1794,2016-09-28
BAC,1.1614518147684605,32,3056,9,799,928,2016-02-12
UNH,2.305337519623234,11,3056,8,1274,2937,2018-12-26
PG,1.199400299850075,16,3056,9,1334,1600,2018-05-04
PFE,1.0308219178082192,14,3056,9,584,602,2016-12-09
INTC,1.4444444444444444,1,3056,7,36,52,2007-10-22
VZ,1.5405405405405406,22,3056,7,814,1254,2010-03-08
CVX,1.091743119266055,25,3056,9,2725,2975,2014-10-08
T,0.6806387225548902,22,3056,10,1002,682,2018-11-28
CSCO,0.9615384615384616,3,3056,9,156,150,2018-12-26
BA,3.3491311216429698,15,3056,10,1899,6360,2018-06-28
HD,3.1335311572700295,11,3056,10,674,2112,2016-09-12
WFC,0.9625,11,3056,9,560,539,2018-04-04
MRK,1.3917525773195876,5,3056,7,291,405,2017-11-03
MA,3.9025,7,3056,10,400,1561,2018-12-24
KO,1.0305343511450382,6,3056,7,262,270,2011-12-21
CMCSA,1.853747714808044,52,3056,9,1094,2028,2007-12-03
DIS,0.9939498703543648,10,3056,9,1157,1150,2018-12-26
PEP,1.042316258351893,4,3056,8,449,468,2018-04-26
C,0.5642448979591836,54,3056,15,6125,3456,2018-12-26
NFLX,13.51595744680851,7,3056,8,188,2541,2011-10-06
WMT,1.1655011655011656,10,3056,9,858,1000,2018-11-23
MCD,2.108294930875576,5,3056,8,434,915,2016-09-12
PM,0.9348137535816619,15,2754,11,1396,1305,2018-12-26
ORCL,1.04,13,3056,9,650,676,2015-07-29
ABT,1.9047619047619047,20,3056,9,798,1520,2015-09-15
DWDP,1.2680831826401446,51,3056,12,2212,2805,2018-10-16
ADBE,5.126041666666667,19,3056,10,960,4921,2015-07-28
UNP,1.6769420468557337,8,3056,10,811,1360,2018-12-26
IBM,0.8409680207433017,21,3056,9,3471,2919,2018-12-26
MDT,1.351129363449692,7,3056,8,487,658,2018-12-26
CRM,2.1683501683501682,16,3056,10,1188,2576,2018-12-26
MMM,1.7173377156943304,20,3056,12,2434,4180,2018-01-03
ABBV,0.7619047619047619,5,1546,9,525,400,2018-03-28
AMGN,1.9929328621908127,3,3056,7,283,564,2016-06-22
AVGO,1.363524083985179,12,2403,11,2429,3312,2018-07-02
LLY,1.612293144208038,11,3056,9,846,1364,2018-12-26
HON,1.433479075577764,15,3056,11,1601,2295,2018-12-26
PYPL,1.1970074812967582,5,916,9,401,480,2018-10-16
UTX,1.0420624151967435,6,3056,8,737,768,2018-04-26
ACN,2.026948989412897,13,3056,9,1039,2106,2018-12-26
TMO,1.26,8,3056,9,1600,2016,2018-12-26
MO,0.6792452830188679,9,3056,9,689,468,2018-11-27
COST,1.8583719391131701,13,3056,7,1511,2808,2018-12-26
NEE,2.520107238605898,10,3056,8,746,1880,2013-08-27
BKNG,2.4101399924328413,10,3056,8,7929,19110,2016-10-17
GE,0.35816618911174786,25,3056,8,698,250,2018-01-04
GILD,0.8623693379790941,15,3056,9,1148,990,2018-12-26
LOW,1.9120105587329521,41,3056,13,2273,4346,2018-10-16
CAT,1.5085271317829458,14,3056,8,1290,1946,2018-06-28
BMY,1.1147540983606556,4,3056,7,183,204,2018-04-24
COP,0.9655172413793104,6,3056,7,435,420,2015-05-15
CVS,1.028436018957346,21,3056,13,1266,1302,2018-12-26
ANTM,1.8993409227082085,10,3056,11,1669,3170,2018-12-21
AMT,1.6238532110091743,3,3056,7,327,531,2016-11-16
UPS,1.128456735057984,23,3056,8,2242,2530,2018-12-26
USB,0.9161676646706587,6,3056,9,334,306,2018-12-26
LMT,1.7174825174825175,16,3056,10,2860,4912,2018-12-26
AXP,1.1964856230031948,7,3056,9,626,749,2018-12-26
CI,5.18716577540107,5,3056,8,187,970,2010-07-07
MDLZ,0.9012244897959184,23,3056,10,1225,1104,2018-03-29
DHR,1.2492462311557788,11,3056,9,995,1243,2018-12-26
GS,0.9915682967959528,6,3056,7,1186,1176,2018-10-02
BDX,1.1177347242921014,6,3056,9,1342,1500,2018-12-26
ADP,1.2074408117249154,7,3056,9,887,1071,2018-12-26
BIIB,1.2,24,3056,10,6500,7800,2018-12-26
DUK,1.1853245531514582,28,3056,12,2126,2520,2018-01-25
QCOM,0.7549857549857549,15,3056,8,1053,795,2018-12-26
CME,2.010878661087866,27,3056,10,2390,4806,2018-05-03
ISRG,3.5917039446929646,16,3056,11,2459,8832,2018-12-26
CB,0.9642857142857143,2,3056,7,280,270,2018-03-26
TJX,0.9433962264150944,4,3056,7,212,200,2018-12-26
CELG,1.5762942779291553,13,3056,10,734,1157,2018-12-26
SLB,0.6505589614136315,41,3056,16,2773,1804,2018-12-21
CHTR,1.6795865633074936,13,2299,10,2709,4550,2018-12-26
