,Change,Shares,DataSize,LoseStreak,Invested,CurrentValue,LastPurchase
IPFF,0.47719298245614034,17,1826,11,570,272,2016-12-01
IPKW,0.8781115879828326,33,1256,10,1165,1023,2015-07-13
IPOS,0.6627218934911243,16,1101,7,507,336,2015-07-31
IQDY,0.7578947368421053,3,1475,7,95,72,2015-09-24
IQLT,0.7435897435897436,7,1030,7,273,203,2017-12-13
ISHG,0.7022222222222222,16,2300,8,1800,1264,2012-06-06
ISMD,0.7005988023952096,78,500,16,3006,2106,2018-12-26
ITA,1.1546961325966851,6,2300,8,1086,1254,2018-12-26
ITB,0.8571428571428571,2,2300,7,84,72,2018-10-16
ITE,0.8535564853556485,34,2300,8,2390,2040,2015-10-12
ITEQ,0.8604651162790697,1,826,7,43,37,2018-10-22
ITM,0.8502629393855522,64,2300,10,3613,3072,2015-03-27
ITOT,0.9933481152993349,7,2300,10,451,448,2018-12-26
IUSG,1.2040816326530612,8,2300,9,392,472,2016-01-14
IUSV,0.9348441926345609,6,2300,9,353,330,2018-12-26
IVAL,0.8157776781712237,65,1052,10,2231,1820,2015-11-24
IVE,1.1388577827547592,9,2300,13,893,1017,2018-12-26
IVOG,1.154320987654321,11,2128,10,1296,1496,2018-12-26
IVOO,1.1145131659522352,14,2128,9,1633,1820,2018-12-26
IVOV,1.09347442680776,5,2128,11,567,620,2018-12-26
IVV,1.2362516498020237,10,2300,10,2273,2810,2018-12-26
IVW,1.0769230769230769,4,2300,10,624,672,2018-12-26
IWB,1.2074303405572755,10,2300,10,1292,1560,2018-12-26
IWC,1.0757855822550833,12,2300,8,1082,1164,2018-12-26
IWD,1.1679748822605966,6,2300,10,637,744,2018-12-26
IWF,1.0068027210884354,5,2300,8,735,740,2018-12-26
IWL,0.9323770491803278,7,2300,8,488,455,2018-12-26
IWM,1.1773472429210134,5,2300,10,671,790,2018-12-26
IWN,1.1033274956217163,5,2300,10,571,630,2018-12-26
IWO,1.3086150490730644,6,2300,9,917,1200,2018-12-26
IWP,1.0606860158311346,6,2300,9,758,804,2018-12-26
IWR,1.0,1,2300,7,54,54,2018-12-26
IWS,1.084788029925187,5,2300,9,401,435,2018-12-26
IWV,1.1428571428571428,16,2300,11,2310,2640,2018-12-26
IWX,0.9096209912536443,6,2300,9,343,312,2018-12-26
IWY,1.0212765957446808,3,2300,9,235,240,2018-12-26
IXG,0.8948863636363636,15,2300,11,1056,945,2018-07-06
IXN,1.9055918663761802,16,2300,9,1377,2624,2018-12-26
IXP,0.8133493205435651,37,2300,9,2502,2035,2018-12-26
IYC,1.4940535183349852,15,2300,11,2018,3015,2018-12-26
IYE,0.7932843651626443,21,2300,11,953,756,2018-12-26
IYF,1.1643835616438356,5,2300,9,511,595,2018-12-26
IYG,1.0578512396694215,2,2300,8,242,256,2018-12-20
IYH,1.5725806451612903,9,2300,10,1116,1755,2018-12-26
