,Start,High,Low,Last,Drop,Recover,TotalChange,Score
GWR,86,93,68,84,0.731,1.235,0.977,3.281
EIX,66,71,47,61,0.662,1.298,0.924,3.098
CSGP,416,447,317,412,0.709,1.3,0.99,3.295
LECO,91,98,73,88,0.745,1.205,0.967,3.282
LNC,65,71,49,63,0.69,1.286,0.969,3.207
ANTM,251,296,248,317,0.838,1.278,1.263,3.945
LVS,68,70,48,62,0.686,1.292,0.912,3.145
SJM,109,116,93,101,0.802,1.086,0.927,3.299
EL,134,153,122,159,0.797,1.303,1.187,3.76
MCO,170,182,129,173,0.709,1.341,1.018,3.364
ALKS,43,46,28,33,0.609,1.179,0.767,2.688
CHRW,95,100,79,92,0.79,1.165,0.968,3.381
PKI,82,98,72,94,0.735,1.306,1.146,3.532
L,51,52,43,48,0.827,1.116,0.941,3.425
INTC,48,50,42,52,0.84,1.238,1.083,3.732
THO,91,107,49,70,0.458,1.429,0.769,2.618
USD,44,48,26,39,0.542,1.5,0.886,2.974
EQH,21,23,15,19,0.652,1.267,0.905,3.022
WYND,46,47,34,47,0.723,1.382,1.022,3.449
XEC,96,101,57,74,0.564,1.298,0.771,2.705
ADT,9,10,6,8,0.6,1.333,0.889,2.942
RVI,34,36,25,31,0.694,1.24,0.912,3.115
IRM,35,37,30,36,0.811,1.2,1.029,3.544
TCBI,91,94,48,62,0.511,1.292,0.681,2.495
AFG,112,114,85,100,0.746,1.176,0.893,3.182
OZK,41,41,21,33,0.512,1.571,0.805,2.9
WCC,59,63,44,56,0.698,1.273,0.949,3.196
SNDR,27,28,18,23,0.643,1.278,0.852,2.957
XOM,80,87,66,78,0.759,1.182,0.975,3.309
WTM,919,981,834,921,0.85,1.104,1.002,3.551
LSTR,110,128,91,110,0.711,1.209,1.0,3.22
CBRE,49,50,38,51,0.76,1.342,1.041,3.538
BC,63,69,43,53,0.623,1.233,0.841,2.85
MKL,1198,1220,954,1002,0.782,1.05,0.836,3.109
NVDA,244,289,126,159,0.436,1.262,0.652,2.294
EXP,97,100,57,79,0.57,1.386,0.814,2.85
SPG,177,191,161,184,0.843,1.143,1.04,3.604
UNIT,18,21,9,9,0.429,1.0,0.5,1.868
RPM,64,68,52,59,0.765,1.135,0.922,3.227
ARW,75,80,63,82,0.787,1.302,1.093,3.634
CTLT,41,46,30,44,0.652,1.467,1.073,3.39
H,79,81,63,75,0.778,1.19,0.949,3.35
AVB,178,192,169,196,0.88,1.16,1.101,3.81
TRCO,34,34,33,46,0.971,1.394,1.353,4.633
PANW,203,237,162,230,0.684,1.42,1.133,3.489
PACW,50,52,31,41,0.596,1.323,0.82,2.853
MSG,308,320,243,297,0.759,1.222,0.964,3.338
FRT,125,136,115,135,0.846,1.174,1.08,3.685
LBRDK,78,86,69,90,0.802,1.304,1.154,3.744
LKQ,33,35,23,27,0.657,1.174,0.818,2.855
VRSK,114,125,103,125,0.824,1.214,1.096,3.668
TGT,79,89,61,72,0.685,1.18,0.911,3.029
PBCT,18,19,14,18,0.737,1.286,1.0,3.372
CDW,84,96,75,96,0.781,1.28,1.143,3.643
HPP,34,35,27,34,0.771,1.259,1.0,3.448
SIRI,7,7,6,6,0.857,1.0,0.857,3.326
STZ,208,229,151,169,0.659,1.119,0.812,2.8
X,35,35,17,24,0.486,1.412,0.686,2.57
V,137,151,122,146,0.808,1.197,1.066,3.569
ARE,127,130,110,137,0.846,1.245,1.079,3.755
PPL,29,29,28,32,0.966,1.143,1.103,4.112
MOH,124,153,106,142,0.693,1.34,1.145,3.445
ALK,61,75,58,62,0.773,1.069,1.016,3.28
HUBB,119,137,93,120,0.679,1.29,1.008,3.22
JBLU,17,20,15,17,0.75,1.133,1.0,3.258
CHD,56,57,55,66,0.965,1.2,1.179,4.241
RYN,35,35,27,29,0.771,1.074,0.829,3.092
OGE,36,38,35,43,0.921,1.229,1.194,4.119
LOPE,118,130,91,117,0.7,1.286,0.992,3.258
MPC,80,87,54,65,0.621,1.204,0.812,2.787
DISH,31,37,24,33,0.649,1.375,1.065,3.282
LIN,164,170,148,174,0.871,1.176,1.061,3.754
LDOS,68,72,51,64,0.708,1.255,0.941,3.199
SBAC,162,162,147,183,0.907,1.245,1.13,4.02
FTV,80,88,64,81,0.727,1.266,1.012,3.335
BR,112,138,92,101,0.667,1.098,0.902,2.89
AFL,47,48,42,49,0.875,1.167,1.043,3.741
ETFC,60,61,41,49,0.672,1.195,0.817,2.915
CFR,112,114,83,105,0.728,1.265,0.938,3.263
WCG,270,322,221,276,0.686,1.249,1.022,3.212
D,70,77,68,75,0.883,1.103,1.071,3.733
AGNC,19,19,17,18,0.895,1.059,0.947,3.608
ZG,57,59,27,44,0.458,1.63,0.772,2.822
TXN,110,116,88,107,0.759,1.216,0.973,3.341
HPT,28,29,23,28,0.793,1.217,1.0,3.475
CCL,58,67,46,59,0.687,1.283,1.017,3.244
CLGX,49,51,32,40,0.627,1.25,0.816,2.852
LLL,211,222,163,214,0.734,1.313,1.014,3.405
RJF,91,96,70,84,0.729,1.2,0.923,3.186
TDY,226,249,191,236,0.767,1.236,1.044,3.457
CSCO,41,49,40,50,0.816,1.25,1.22,3.802
HFC,68,76,47,56,0.618,1.191,0.824,2.779
GM,37,38,31,40,0.816,1.29,1.081,3.703
CNC,66,74,55,64,0.743,1.164,0.97,3.238
XOG,15,15,3,5,0.2,1.667,0.333,2.08
SPB,87,92,42,53,0.457,1.262,0.609,2.289
CFG,40,42,28,37,0.667,1.321,0.925,3.136
VER,8,8,7,8,0.875,1.143,1.0,3.674
SNV,50,51,30,40,0.588,1.333,0.8,2.824
COLM,87,95,80,105,0.842,1.312,1.207,3.937
RCL,109,134,89,121,0.664,1.36,1.11,3.352
USFD,33,34,28,35,0.824,1.25,1.061,3.669
PLD,66,69,56,72,0.812,1.286,1.091,3.696
JWN,50,68,43,44,0.632,1.023,0.88,2.702
