,%Down,%Up,Change
MSFT,0.25,0.333,1.028
AAPL,0.333,0.417,0.9885
AMZN,0.583,0.333,0.9766
BRKB,1.0,0.0,0.9853
FB,0.583,0.25,0.9415
JNJ,0.083,0.5,1.0226
JPM,0.25,0.333,1.0194
GOOG,0.583,0.417,0.9745
GOOGL,0.583,0.417,0.9713
XOM,0.083,0.333,1.04
BAC,0.0,0.167,1.0357
UNH,0.333,0.5,1.0075
V,0.083,0.417,1.0284
PG,0.0,0.333,1.0309
PFE,0.167,0.167,1.0244
INTC,0.083,0.083,1.0612
VZ,0.083,0.167,1.037
CVX,0.25,0.167,1.0
CSCO,0.083,0.25,1.0638
T,0.0,0.083,1.069
BA,0.333,0.583,1.0316
HD,0.25,0.583,1.0323
WFC,0.083,0.083,1.0
MRK,0.167,0.417,1.0526
MA,0.167,0.333,1.0372
CMCSA,0.0,0.167,1.027
KO,0.167,0.083,0.9184
DIS,0.333,0.583,1.0177
PEP,0.25,0.25,1.0265
C,0.167,0.167,1.0159
NFLX,0.583,0.417,1.0168
MCD,0.417,0.417,1.0339
WMT,0.167,0.333,1.0421
PM,0.083,0.5,1.16
ORCL,0.083,0.333,1.0196
ABT,0.167,0.5,1.0556
DWDP,0.167,0.333,1.0189
ADBE,0.333,0.417,1.0118
IBM,0.167,0.583,1.0296
UNP,0.25,0.667,1.0559
MDT,0.083,0.25,1.0568
ABBV,0.25,0.167,1.0127
MMM,0.25,0.5,1.0398
AMGN,0.583,0.333,0.9947
AVGO,0.333,0.5,1.011
LLY,0.167,0.583,1.0508
CRM,0.417,0.5,1.0126
HON,0.083,0.583,1.0338
PYPL,0.25,0.417,1.0556
NKE,0.0,0.25,1.0244
ACN,0.083,0.333,1.0255
TXN,0.083,0.333,1.0288
UTX,0.167,0.417,1.0583
TMO,0.25,0.667,1.0286
MO,0.167,0.333,1.0408
LIN,0.25,0.417,1.0613
COST,0.333,0.417,1.0189
NVDA,0.25,0.5,1.053
BKNG,0.583,0.417,1.0079
NEE,0.167,0.5,1.0562
GE,0.167,0.167,1.0
LOW,0.083,0.583,1.0928
