Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MSFT","MICROSOFT CORP","Equity","3.62","109.41","52,656,494.00","5,761,147,008.54","5,761,147,008.54","Information Technology","2588173","US5949181045","NASDAQ"
"AAPL","APPLE INC","Equity","3.30","171.06","30,713,538.00","5,253,857,810.28","5,253,857,810.28","Information Technology","2046251","US0378331005","NASDAQ"
"AMZN","AMAZON COM INC","Equity","2.84","1,619.44","2,798,336.00","4,531,737,251.84","4,531,737,251.84","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.71","205.33","13,252,142.00","2,721,062,316.86","2,721,062,316.86","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"FB","FACEBOOK CLASS A INC","Equity","1.64","160.04","16,371,210.00","2,620,048,448.40","2,620,048,448.40","Communication","B7TL820","US30303M1027","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.55","135.42","18,279,811.00","2,475,452,005.62","2,475,452,005.62","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.50","105.47","22,665,838.00","2,390,565,933.86","2,390,565,933.86","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"GOOG","ALPHABET INC CLASS C","Equity","1.44","1,096.97","2,096,357.00","2,299,640,738.29","2,299,640,738.29","Communication","BYY88Y7","US02079K1079","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","1.41","1,104.21","2,037,412.00","2,249,730,704.52","2,249,730,704.52","Communication","BYVY8G0","US02079K3059","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.41","77.82","28,856,519.00","2,245,614,308.58","2,245,614,308.58","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","1.14","29.29","62,211,155.00","1,822,164,729.95","1,822,164,729.95","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","1.10","266.40","6,555,163.00","1,746,295,423.20","1,746,295,423.20","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","1.08","144.00","11,973,517.00","1,724,186,448.00","1,724,186,448.00","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.06","99.78","16,980,993.00","1,694,363,481.54","1,694,363,481.54","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.04","42.14","39,388,156.00","1,659,816,893.84","1,659,816,893.84","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"INTC","INTEL CORP","Equity","1.00","51.41","31,097,295.00","1,598,711,935.95","1,598,711,935.95","Information Technology","2463247","US4581401001","NASDAQ"
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.99","56.15","28,162,822.00","1,581,342,455.30","1,581,342,455.30","Communication","2090571","US92343V1044","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.97","119.14","13,023,371.00","1,551,604,420.94","1,551,604,420.94","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.96","30.83","49,588,846.00","1,528,824,122.18","1,528,824,122.18","Communication","2831811","US00206R1023","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.95","49.41","30,633,496.00","1,513,601,037.36","1,513,601,037.36","Information Technology","2198163","US17275R1023","NASDAQ"
"BA","BOEING","Equity","0.94","417.58","3,598,285.00","1,502,571,850.30","1,502,571,850.30","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.93","191.82","7,698,926.00","1,476,807,985.32","1,476,807,985.32","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","0.90","49.56","28,876,579.00","1,431,123,255.24","1,431,123,255.24","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.89","79.83","17,724,188.00","1,414,921,928.04","1,414,921,928.04","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.85","219.31","6,190,605.00","1,357,661,582.55","1,357,661,582.55","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.75","45.86","26,110,262.00","1,197,416,615.32","1,197,416,615.32","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"CMCSA","COMCAST CORP CLASS A","Equity","0.75","38.47","30,944,251.00","1,190,425,335.97","1,190,425,335.97","Communication","2044545","US20030N1019","NASDAQ"
"DIS","WALT DISNEY","Equity","0.73","114.29","10,146,334.00","1,159,624,512.86","1,159,624,512.86","Communication","2270726","US2546871060","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.70","116.10","9,620,870.00","1,116,983,007.00","1,116,983,007.00","Consumer Staples","2681511","US7134481081","NASDAQ"
"C","CITIGROUP INC","Equity","0.67","64.32","16,646,061.00","1,070,674,643.52","1,070,674,643.52","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"NFLX","NETFLIX INC","Equity","0.67","356.97","2,972,364.00","1,061,044,777.08","1,061,044,777.08","Communication","2857817","US64110L1061","NASDAQ"
"WMT","WALMART INC","Equity","0.61","99.39","9,702,898.00","964,371,032.22","964,371,032.22","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.60","182.81","5,249,310.00","959,626,361.10","959,626,361.10","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
