Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MSFT","MICROSOFT CORP","Equity","3.18","109.41","5,523,803.00","604,359,286.23","604,359,286.23","Information Technology","2588173","US5949181045","NASDAQ"
"AAPL","APPLE INC","Equity","3.11","171.06","3,461,405.00","592,107,939.30","592,107,939.30","Information Technology","2046251","US0378331005","NASDAQ"
"AMZN","AMAZON COM INC","Equity","2.52","1,619.44","296,326.00","479,882,177.44","479,882,177.44","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","1.46","160.04","1,733,117.00","277,368,044.68","277,368,044.68","Communication","B7TL820","US30303M1027","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.39","135.42","1,956,717.00","264,978,616.14","264,978,616.14","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.34","105.47","2,411,766.00","254,368,960.02","254,368,960.02","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"GOOG","ALPHABET INC CLASS C","Equity","1.28","1,096.97","221,929.00","243,449,455.13","243,449,455.13","Communication","BYY88Y7","US02079K1079","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","1.26","1,104.21","217,761.00","240,453,873.81","240,453,873.81","Communication","BYVY8G0","US02079K3059","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.26","77.82","3,087,682.00","240,283,413.24","240,283,413.24","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"BAC","BANK OF AMERICA CORP","Equity","1.03","29.29","6,667,108.00","195,279,593.32","195,279,593.32","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","0.98","266.40","696,648.00","185,587,027.20","185,587,027.20","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","0.97","144.00","1,283,681.00","184,850,064.00","184,850,064.00","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","0.95","99.78","1,815,343.00","181,134,924.54","181,134,924.54","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.94","42.14","4,228,579.00","178,192,319.06","178,192,319.06","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"INTC","INTEL CORP","Equity","0.90","51.41","3,330,035.00","171,197,099.35","171,197,099.35","Information Technology","2463247","US4581401001","NASDAQ"
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.89","56.15","3,014,890.00","169,286,073.50","169,286,073.50","Communication","2090571","US92343V1044","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.87","119.14","1,388,258.00","165,397,058.12","165,397,058.12","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.86","49.41","3,306,360.00","163,367,247.60","163,367,247.60","Information Technology","2198163","US17275R1023","NASDAQ"
"T","AT&T INC","Equity","0.86","30.83","5,297,700.00","163,328,091.00","163,328,091.00","Communication","2831811","US00206R1023","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.86","417.58","390,217.00","162,946,814.86","162,946,814.86","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.85","191.82","840,038.00","161,136,089.16","161,136,089.16","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","0.81","49.56","3,092,669.00","153,272,675.64","153,272,675.64","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.80","79.83","1,897,093.00","151,444,934.19","151,444,934.19","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.77","219.31","669,555.00","146,840,107.05","146,840,107.05","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"CMCSA","COMCAST CORP CLASS A","Equity","0.67","38.47","3,329,808.00","128,097,713.76","128,097,713.76","Communication","2044545","US20030N1019","NASDAQ"
"KO","COCA-COLA","Equity","0.67","45.86","2,787,800.00","127,848,508.00","127,848,508.00","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.65","114.29","1,086,569.00","124,183,971.01","124,183,971.01","Communication","2270726","US2546871060","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.63","116.10","1,032,472.00","119,869,999.20","119,869,999.20","Consumer Staples","2681511","US7134481081","NASDAQ"
"C","CITIGROUP INC","Equity","0.60","64.32","1,778,865.00","114,416,596.80","114,416,596.80","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"NFLX","NETFLIX INC","Equity","0.57","356.97","303,888.00","108,478,899.36","108,478,899.36","Communication","2857817","US64110L1061","NASDAQ"
"MCD","MCDONALDS CORP","Equity","0.54","182.81","566,171.00","103,501,720.51","103,501,720.51","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"WMT","WALMART INC","Equity","0.54","99.39","1,040,113.00","103,376,831.07","103,376,831.07","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.51","85.58","1,132,969.00","96,959,487.02","96,959,487.02","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.51","52.11","1,856,882.00","96,762,121.02","96,762,121.02","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.49","75.14","1,247,510.00","93,737,901.40","93,737,901.40","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"DWDP","DOWDUPONT INC","Equity","0.49","55.26","1,673,866.00","92,497,835.16","92,497,835.16","Materials","BYP66M4","US26078J1007","New York Stock Exchange Inc."
"ADBE","ADOBE INC","Equity","0.49","257.76","358,415.00","92,385,050.40","92,385,050.40","Information Technology","2008154","US00724F1012","NASDAQ"
