,Score,Discount,Dip,HighLow,Vari,Vari2,PointsAbove,WC,Range,ETF,Last,LastL,LastH
MSFT,76.778,1.0257,3.852,1.207,66.12787,0.00139,7.769,0.955,0,IVV,113.62,108.8,113.99
AAPL,68.578,1.0429,5.022,0.272,1114.34488,0.02013,3.432,0.743,0,IVV,180.91,169.5,182.67
AMZN,60.4,1.0282,5.973,0.245,38731.16137,0.00364,0.89,0.795,0,IVV,1673.1,1586.5699,1709.4301
FB,70.51,1.0169,6.111,0.386,387.81132,0.00776,14.464,0.943,0,IVV,171.92,165.97,174.3
GOOG,82.602,1.036,4.172,1.222,7846.75108,0.00158,8.64,0.928,0,IVV,1193.2,1123.3,1200.0
JNJ,86.915,1.0046,2.532,0.133,80.58328,0.0024,5.82,0.919,0,"IVV,IWB,IUSG",139.18,136.42,140.0
GOOGL,82.372,1.0325,4.219,1.216,7540.10117,0.00148,7.69,0.927,0,IVV,1197.25,1130.2,1205.71
JPM,72.247,1.0119,3.264,0.129,57.97047,0.00183,0.0,0.868,0,IVV,104.04,101.99,105.92
XOM,70.221,0.9966,3.461,0.221,48.56602,0.00349,2.464,0.912,0,"IVV,IWB,IUSG",80.0,78.25,80.58
V,92.53,1.0298,3.421,1.246,150.00002,0.00168,11.802,0.974,0,IVV,151.73,144.5,153.14
PG,108.111,1.0128,1.978,0.247,95.38552,0.00144,22.821,1.018,0,IVV,100.05,97.75,100.52
UNH,55.559,1.033,3.984,0.056,445.39805,0.00256,0.151,0.824,0,IVV,245.88,234.64,248.45
INTC,74.111,1.0163,4.492,0.263,24.48607,0.00235,16.434,1.047,0,IVV,53.57,51.7,54.1
CVX,80.169,1.0149,3.688,1.227,87.76943,0.0017,6.043,0.943,0,"IVV,IWB",123.9,119.2,124.96
CSCO,79.279,1.0145,3.247,1.295,24.53895,0.00323,22.332,1.039,0,IVV,52.15,50.51,52.28
PFE,50.364,1.0054,2.874,0.056,6.21687,0.00077,3.943,0.884,0,"IVV,IWB,IUSG",41.73,40.34,43.79
T,54.311,1.0169,3.733,0.12,4.82725,0.0011,0.21,0.874,0,IVV,30.63,29.74,31.24
WFC,63.683,1.0005,3.569,0.139,18.59215,0.00299,0.04,0.842,0,IVV,49.65,49.17,50.9
MRK,108.363,1.0075,2.164,0.161,29.79247,0.00126,21.862,1.006,0,"IVV,IWB,IUSG",81.23,79.05,82.12
MA,83.167,1.0174,3.901,0.299,459.05522,0.00423,16.33,0.992,0,IVV,226.94,215.93,228.5
HD,72.8,1.0039,3.733,0.164,210.26748,0.00182,0.414,0.847,0,"IVV,IWB,IUSG",184.0,179.52,186.56
BA,62.338,0.9175,4.359,0.276,2692.65305,0.01089,9.692,0.957,0,IVV,375.41,365.55,446.01
CMCSA,91.784,1.0248,3.34,1.194,7.21112,0.00158,13.875,0.969,0,IVV,39.49,37.89,39.73
KO,66.615,1.0184,2.433,0.03,5.11047,0.00105,2.358,0.888,0,IVV,46.05,44.61,46.25
DIS,57.468,1.0064,2.68,0.143,51.79107,0.00087,3.884,0.949,0,IVV,114.73,112.9,115.3
PEP,67.762,1.0041,2.577,0.099,43.18007,0.00084,5.029,0.945,0,IVV,116.57,114.26,117.33
NFLX,55.409,1.0141,8.104,0.523,2833.91265,0.01907,13.269,0.917,0,IVV,356.27,342.47,362.87
C,65.729,1.0107,4.383,0.275,70.14932,0.00889,1.447,0.828,0,IVV,62.81,60.76,65.69
WMT,75.973,1.01,2.707,0.146,50.01765,0.00144,7.254,0.923,0,IVV,98.37,97.0,99.56
MCD,68.71,1.0052,2.474,0.108,122.19452,0.00064,12.147,0.948,0,IVV,181.83,178.27,185.65
ABT,89.075,1.016,3.105,0.193,29.53222,0.00182,21.36,1.032,0,IVV,78.24,75.86,78.97
