Date,Open,High,Low,Close,Adj Close,Volume
2015-01-05,204.17,204.37,201.35,201.72,186.2584,169632600
2015-01-06,202.09,202.72,198.86,199.82,184.5041,209151400
2015-01-07,201.42,202.72,200.88,202.31,186.8032,125346700
2015-01-08,204.01,206.16,203.99,205.9,190.118,147217800
2015-01-09,206.4,206.42,203.51,204.25,188.5945,150812300
2015-01-12,204.41,204.6,201.92,202.65,187.1171,144396100
2015-01-13,204.12,205.48,200.51,202.08,186.5909,214553300
2015-01-14,199.65,201.1,198.57,200.86,185.4644,192991100
2015-01-15,201.63,202.01,198.88,199.02,183.7654,176613900
2015-01-16,198.77,201.82,198.55,201.63,186.1753,211879600
2015-01-20,202.4,202.72,200.17,202.06,186.5724,129466200
2015-01-21,201.5,203.66,200.94,203.08,187.5142,122942700
2015-01-22,203.99,206.26,202.33,206.1,190.3027,174356000
2015-01-23,205.79,206.1,204.81,204.97,189.2593,115637000
2015-01-26,204.71,205.56,203.85,205.45,189.7025,92009700
2015-01-27,202.97,204.12,201.74,202.74,187.2003,134044600
2015-01-28,204.17,204.29,199.91,200.14,184.7995,168514300
2015-01-29,200.38,202.3,198.68,201.99,186.5078,173585400
2015-01-30,200.57,202.17,199.13,199.45,184.1624,197729700
2015-02-02,200.05,202.03,197.86,201.92,186.4431,163107000
2015-02-03,203.0,204.85,202.55,204.84,189.1393,122416200
2015-02-04,203.92,205.38,203.51,204.06,188.4191,134306700
2015-02-05,204.86,206.3,204.77,206.12,190.3212,97953200
2015-02-06,206.56,207.24,204.92,205.55,189.7949,119694900
2015-02-09,204.77,205.64,204.14,204.63,188.9453,87219000
2015-02-10,205.88,207.12,204.68,206.81,190.9583,96164200
2015-02-11,206.61,207.45,205.83,206.93,191.0691,91087800
2015-02-12,207.89,208.99,206.97,208.92,192.9066,97545900
2015-02-13,209.07,209.84,208.76,209.78,193.7006,93670400
2015-02-17,209.4,210.32,209.1,210.11,194.0053,76968200
2015-02-18,209.66,210.22,209.34,210.13,194.0238,74848400
2015-02-19,209.41,210.42,209.24,209.98,193.8853,91462500
2015-02-20,209.48,211.33,208.73,211.24,195.0487,140896400
2015-02-23,210.94,211.21,210.48,211.21,195.0211,74411100
2015-02-24,211.12,212.05,210.76,211.81,195.575,70943200
2015-02-25,211.66,212.24,211.22,211.63,195.4088,73061700
2015-02-26,211.52,211.71,210.65,211.38,195.178,72697900
2015-02-27,211.26,211.58,210.6,210.66,194.5132,108076000
2015-03-02,210.78,212.06,210.72,211.99,195.7413,87491400
2015-03-03,211.47,212.05,210.08,211.12,194.9379,110325800
2015-03-04,210.4,210.49,209.06,210.23,194.1162,105665800
2015-03-05,209.42,210.8,209.85,210.46,194.3285,76873000
2015-03-06,210.46,210.46,207.1,207.5,191.5954,188128000
2015-03-09,207.74,208.79,207.55,208.36,192.3894,89818900
2015-03-10,206.71,206.81,204.93,204.98,189.2685,153901500
2015-03-11,205.29,205.5,204.4,204.5,188.8253,110145700
2015-03-12,205.26,207.18,205.2,207.1,191.2261,93993500
2015-03-13,206.77,207.93,204.58,205.83,190.0534,162410900
2015-03-16,206.71,208.69,205.86,208.58,192.5926,136099200
2015-03-17,207.69,208.42,206.98,207.96,192.0202,91167100
2015-03-18,207.39,211.27,206.62,210.46,194.3285,220171200
2015-03-19,209.96,210.47,209.03,209.5,193.4421,117917300
2015-03-20,209.71,211.02,209.49,210.41,195.1494,177715100
2015-03-23,210.42,211.11,210.0,210.0,194.7691,71310300
2015-03-24,209.85,210.4,208.74,208.82,193.6747,77805300
2015-03-25,209.07,209.35,205.71,205.76,190.8367,159521700
2015-03-26,204.96,206.37,204.12,205.27,190.3822,153067200
2015-03-27,205.13,205.95,204.9,205.74,190.8181,109352100
2015-03-30,205.74,208.61,206.96,208.25,193.1461,96180400
2015-03-31,207.26,208.1,206.36,206.43,191.4581,126768700
2015-04-01,206.43,206.43,204.51,205.7,190.781,132644700
2015-04-02,205.62,206.98,205.4,206.44,191.4673,86900900
2015-04-06,206.44,208.45,205.21,207.83,192.7565,114368200
2015-04-07,207.86,208.76,207.24,207.28,192.2464,81236300
2015-04-08,207.55,208.51,207.08,207.98,192.8956,89351900
2015-04-09,207.78,209.18,207.19,208.9,193.7489,85548900
2015-04-10,209.2,210.09,208.96,210.04,194.8062,72722900
