Date,Open,High,Low,Close,Adj Close,Volume
2002-01-07,7.0375,7.0625,6.725,6.8025,4.3506,325200
2002-01-08,6.8,6.8,6.5075,6.6125,4.2291,857200
2002-01-09,6.7,6.9625,6.6125,6.8,4.349,429600
2002-01-10,6.8,7.15,6.8,7.1275,4.5585,473600
2002-01-11,7.075,7.185,7.0,7.025,4.4929,466000
2002-01-14,7.025,7.1875,6.9,6.915,4.4226,1001200
2002-01-15,6.925,7.025,6.725,6.9925,4.4721,524400
2002-01-16,7.0,7.0,6.875,6.8875,4.405,270000
2002-01-17,6.95,7.2825,6.95,7.2225,4.6192,577200
2002-01-18,7.285,7.6,7.2775,7.5125,4.8047,2378000
2002-01-22,7.575,7.775,7.455,7.65,4.8926,2193200
2002-01-23,7.5875,7.61,7.15,7.57,4.8415,2857600
2002-01-24,7.625,7.9325,7.5875,7.7275,4.9422,3026400
2002-01-25,7.75,8.1225,7.725,8.025,5.1325,3076400
2002-01-28,8.0875,8.225,8.02,8.15,5.2124,1902000
2002-01-29,8.2125,8.39,8.15,8.325,5.3243,2210400
2002-01-30,8.325,8.4725,8.1175,8.375,5.3563,2322800
2002-01-31,8.375,8.875,8.25,8.6875,5.5562,1581200
2002-02-01,8.6875,8.7375,8.375,8.69,5.5578,1922800
2002-02-04,8.6775,8.68,8.2525,8.495,5.463,1978400
2002-02-05,8.4825,8.8125,8.4525,8.7225,5.6093,1327200
2002-02-06,8.725,9.0825,8.595,8.86,5.6977,2148800
2002-02-07,8.8625,9.025,8.7775,8.815,5.6688,2053200
2002-02-08,8.815,8.8875,8.5125,8.7275,5.6125,1141200
2002-02-11,8.7275,8.8575,8.67,8.8,5.6591,833600
2002-02-12,8.8625,8.8625,8.5625,8.67,5.5755,963200
2002-02-13,8.6075,8.875,8.6075,8.775,5.6431,1006400
2002-02-14,8.8125,8.9375,8.65,8.7025,5.5964,1096400
2002-02-15,8.7,8.7,8.325,8.5225,5.4807,1460400
2002-02-19,8.5225,8.56,8.35,8.465,5.4437,726000
2002-02-20,8.44,8.445,8.13,8.275,5.3215,1094400
2002-02-21,8.25,8.31,8.1675,8.2325,5.2942,743600
2002-02-22,8.2,8.25,7.925,8.2475,5.3038,798000
2002-02-25,8.2475,8.5,8.2025,8.4375,5.426,472400
2002-02-26,8.5,8.75,8.5,8.6375,5.5546,1039200
2002-02-27,8.7375,8.9375,8.7375,8.85,5.6913,929600
2002-02-28,8.875,8.9,8.69,8.7425,5.6222,2058000
2002-03-01,8.7425,8.935,8.625,8.7475,5.6254,1385200
2002-03-04,8.775,8.875,8.7,8.735,5.6173,1317200
2002-03-05,8.735,8.815,8.6275,8.6575,5.5675,831600
2002-03-06,8.6875,8.7125,8.05,8.0625,5.1849,4019200
2002-03-07,7.815,7.985,7.8125,7.8125,5.0241,11726800
2002-03-08,7.8275,8.0325,7.8125,7.845,5.045,1991200
2002-03-11,7.85,7.925,7.765,7.85,5.0482,1298400
2002-03-12,7.8475,7.8475,7.5,7.565,4.8649,3466000
2002-03-13,7.565,7.7,7.3625,7.425,4.7749,3324800
2002-03-14,7.375,7.55,7.3,7.425,4.7749,2672800
2002-03-15,7.3375,7.525,7.3375,7.435,4.7813,1228800
2002-03-18,7.5625,7.6,7.3375,7.5275,4.8408,1896000
2002-03-19,7.5625,7.86,7.5625,7.81,5.0225,1362800
2002-03-20,7.81,7.84,7.705,7.75,4.9839,1112000
2002-03-21,7.775,7.9,7.7175,7.875,5.0643,1206400
2002-03-22,7.8875,7.8875,7.765,7.7675,4.9951,1057600
2002-03-25,7.7775,7.8825,7.77,7.8175,5.0273,1295600
2002-03-26,7.825,7.8725,7.725,7.75,4.9839,655600
2002-03-27,7.725,7.75,7.6275,7.645,4.9164,1075600
2002-03-28,7.645,7.9,7.645,7.85,5.0482,1714800
2002-04-01,7.85,7.865,7.75,7.8375,5.0402,1565600
2002-04-02,7.85,8.0225,7.7825,7.98,5.1318,1136800
2002-04-03,8.0,8.2075,7.9975,8.175,5.2572,1663600
2002-04-04,8.1775,8.3475,8.125,8.2775,5.3231,1319600
2002-04-05,8.2875,8.3275,8.13,8.1575,5.246,630000
2002-04-08,8.1575,8.445,8.1575,8.405,5.4051,1110400
2002-04-09,8.455,8.56,8.4225,8.5425,5.4935,1258800
2002-04-10,8.5425,8.57,8.3875,8.525,5.4823,900800
2002-04-11,8.725,8.7975,8.425,8.4425,5.4292,2198000
2002-04-12,8.505,8.75,8.465,8.72,5.6077,1180800
2002-04-15,8.7825,8.7825,8.3775,8.555,5.5016,776000
2002-04-16,8.5,8.7475,8.5,8.735,5.6173,660800
2002-04-17,8.735,8.8825,8.725,8.8025,5.6607,972000
2002-04-18,8.805,8.805,8.5375,8.7125,5.6029,960000
2002-04-19,8.7625,8.8,8.595,8.69,5.5884,532800
2002-04-22,8.69,8.7,8.5825,8.6625,5.5707,471600
2002-04-23,8.665,8.705,8.5625,8.6425,5.5578,724400
2002-04-24,8.6,8.6,8.35,8.3825,5.3906,1093200
2002-04-25,8.32,8.515,8.13,8.47,5.4469,1010800
2002-04-26,8.4725,8.5375,8.2725,8.2775,5.3231,829600
2002-04-29,8.215,8.2475,8.1725,8.19,5.2668,1374000
2002-04-30,8.075,8.34,8.04,8.3,5.3376,995200
2002-05-01,8.25,8.275,8.16,8.225,5.2894,1051600
2002-05-02,8.2,8.495,8.2,8.47,5.4469,781200
2002-05-03,8.5,8.6325,8.455,8.5875,5.5225,1107200
2002-05-06,8.6125,8.95,8.6025,8.9275,5.7411,1728800
2002-05-07,9.0625,9.0925,8.825,8.995,5.8155,1927600
2002-05-08,9.0575,9.25,8.95,9.0325,5.8398,1281200
2002-05-09,9.0075,9.0075,8.725,8.765,5.6668,790800
2002-05-10,8.7025,8.745,8.64,8.7125,5.6329,535600
2002-05-13,8.725,8.755,8.5875,8.725,5.641,662800
2002-05-14,8.75,8.9,8.7175,8.865,5.7315,832400
2002-05-15,8.815,8.8975,8.775,8.8425,5.7169,1217200
2002-05-16,8.8425,8.875,8.79,8.835,5.7121,565600
2002-05-17,8.84,8.91,8.73,8.89,5.7477,431200
2002-05-20,8.8275,8.85,8.7375,8.82,5.7024,524800
2002-05-21,8.82,8.825,8.62,8.75,5.6571,863200
2002-05-22,8.725,8.74,8.5,8.6125,5.5682,783200
2002-05-23,8.61,8.6725,8.375,8.63,5.5796,894000
2002-05-24,8.63,8.8,8.63,8.6725,5.607,811200
2002-05-28,8.61,8.61,8.425,8.575,5.544,1033600
2002-05-29,8.575,8.7,8.4925,8.7,5.6248,549600
2002-05-30,8.7,8.79,8.5675,8.7875,5.6814,891600
2002-05-31,8.79,8.975,8.78,8.9125,5.7622,1039200
2002-06-03,8.915,8.915,8.62,8.705,5.628,828800
2002-06-04,8.6425,8.6425,8.2225,8.35,5.3985,1102400
2002-06-05,8.2875,8.4125,8.25,8.4025,5.4325,919600
2002-06-06,8.34,8.35,8.1725,8.1875,5.2935,996800
2002-06-07,8.0625,8.265,8.0175,8.205,5.3048,1005200
2002-06-10,8.2,8.3125,8.0275,8.21,5.308,829200
2002-06-11,8.2375,8.2525,7.935,7.995,5.169,983200
2002-06-12,8.0,8.165,8.0,8.14,5.2628,961600
2002-06-13,8.19,8.2075,7.875,7.9125,5.1157,601200
2002-06-14,7.9125,8.1075,7.6775,8.0975,5.2353,563600
2002-06-17,8.1,8.3625,8.1,8.3125,5.3743,629600
2002-06-18,8.315,8.35,8.2125,8.25,5.3339,648800
2002-06-19,8.25,8.4525,8.25,8.3175,5.3775,497200
2002-06-20,8.3175,8.435,8.285,8.4,5.4309,422000
2002-06-21,8.4125,8.475,8.3475,8.4725,5.4777,550400
2002-06-24,8.4725,8.5,8.1575,8.2425,5.329,1220800
2002-06-25,8.1925,8.1925,7.805,7.85,5.0753,1260400
2002-06-26,7.75,7.8,7.5375,7.7975,5.0413,1614400
2002-06-27,7.86,8.17,7.75,8.095,5.2337,1379600
2002-06-28,8.0375,8.0875,7.875,7.875,5.0914,2810400
