Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Equity","0.70","218.30","1,544,152.00","337,088,381.60","337,088,381.60","Information Technology","2989356","US9892071054","NASDAQ"
"IEX","IDEX CORP","Equity","0.68","151.64","2,172,559.00","329,446,846.76","329,446,846.76","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"STE","STERIS","Equity","0.63","125.16","2,424,635.00","303,467,316.60","303,467,316.60","Health Care","BVVBC02","GB00BVVBC028","New York Stock Exchange Inc."
"ULTI","ULTIMATE SOFTWARE GROUP INC","Equity","0.62","330.94","908,089.00","300,522,973.66","300,522,973.66","Information Technology","2249964","US90385D1072","NASDAQ"
"TRMB","TRIMBLE INC","Equity","0.61","40.78","7,209,495.00","294,003,206.10","294,003,206.10","Information Technology","2903958","US8962391004","NASDAQ"
"PTC","PTC INC","Equity","0.60","94.96","3,060,359.00","290,611,690.64","290,611,690.64","Information Technology","B95N910","US69370C1009","NASDAQ"
"DPZ","DOMINOS PIZZA INC","Equity","0.60","245.05","1,176,414.00","288,280,250.70","288,280,250.70","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"UGI","UGI CORP","Equity","0.57","55.70","4,983,217.00","277,565,186.90","277,565,186.90","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"CPT","CAMDEN PROPERTY TRUST REIT","Equity","0.57","99.87","2,769,955.00","276,635,405.85","276,635,405.85","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"ODFL","OLD DOMINION FREIGHT LINE INC","Equity","0.56","145.82","1,860,823.00","271,345,209.86","271,345,209.86","Industrials","2656423","US6795801009","NASDAQ"
"NVR","NVR INC","Equity","0.56","2,760.73","97,458.00","269,055,224.34","269,055,224.34","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"LII","LENNOX INTERNATIONAL INC","Equity","0.55","260.36","1,028,615.00","267,810,201.40","267,810,201.40","Industrials","2442053","US5261071071","New York Stock Exchange Inc."
"LDOS","LEIDOS HOLDINGS INC","Equity","0.55","63.75","4,189,615.00","267,087,956.25","267,087,956.25","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
"MOH","MOLINA HEALTHCARE INC","Equity","0.55","148.29","1,790,378.00","265,495,153.62","265,495,153.62","Health Care","2212706","US60855R1005","New York Stock Exchange Inc."
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.55","242.32","1,090,310.00","264,203,919.20","264,203,919.20","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"CGNX","COGNEX CORP","Equity","0.54","53.47","4,896,765.00","261,830,024.55","261,830,024.55","Information Technology","2208288","US1924221039","NASDAQ"
"MKTX","MARKETAXESS HOLDINGS INC","Equity","0.54","240.16","1,080,220.00","259,425,635.20","259,425,635.20","Financials","B03Q9D0","US57060D1081","NASDAQ"
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.54","144.92","1,789,850.00","259,385,062.00","259,385,062.00","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.53","615.09","414,661.00","255,053,834.49","255,053,834.49","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"LYV","LIVE NATION ENTERTAINMENT INC","Equity","0.53","64.28","3,964,277.00","254,823,725.56","254,823,725.56","Communication","B0T7YX2","US5380341090","New York Stock Exchange Inc."
"NNN","NATIONAL RETAIL PROPERTIES REIT IN","Equity","0.52","54.32","4,632,680.00","251,647,177.60","251,647,177.60","Real Estate","2211811","US6374171063","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","0.51","237.05","1,037,908.00","246,036,091.40","246,036,091.40","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.51","42.82","5,725,195.00","245,152,849.90","245,152,849.90","Utilities","2657802","US6708371033","New York Stock Exchange Inc."
"WEX","WEX INC","Equity","0.49","191.04","1,235,521.00","236,033,931.84","236,033,931.84","Information Technology","B8383P2","US96208T1043","New York Stock Exchange Inc."
"STLD","STEEL DYNAMICS INC","Equity","0.49","35.80","6,579,971.00","235,562,961.80","235,562,961.80","Materials","2849472","US8581191009","NASDAQ"
"GGG","GRACO INC","Equity","0.48","48.90","4,738,195.00","231,697,735.50","231,697,735.50","Industrials","2380443","US3841091040","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","0.48","83.96","2,750,117.00","230,899,823.32","230,899,823.32","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"TYL","TYLER TECHNOLOGIES INC","Equity","0.47","207.73","1,097,646.00","228,014,003.58","228,014,003.58","Information Technology","2909644","US9022521051","New York Stock Exchange Inc."
"WST","WEST PHARMACEUTICAL SERVICES INC","Equity","0.47","106.81","2,126,495.00","227,130,930.95","227,130,930.95","Health Care","2950482","US9553061055","New York Stock Exchange Inc."
"FICO","FAIR ISAAC CORP","Equity","0.46","269.07","833,303.00","224,216,838.21","224,216,838.21","Information Technology","2330299","US3032501047","New York Stock Exchange Inc."
"RPM","RPM INTERNATIONAL INC","Equity","0.46","58.66","3,773,522.00","221,354,800.52","221,354,800.52","Materials","2756174","US7496851038","New York Stock Exchange Inc."
"KRC","KILROY REALTY REIT CORP","Equity","0.46","76.38","2,894,070.00","221,049,066.60","221,049,066.60","Real Estate","2495529","US49427F1084","New York Stock Exchange Inc."
