Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"EGP","EASTGROUP PROPERTIES REIT INC","Equity","0.54","110.99","2,127,677.00","236,150,870.23","236,150,870.23","Real Estate","2455761","US2772761019","New York Stock Exchange Inc."
"TREX","TREX INC","Equity","0.52","65.46","3,427,978.00","224,395,439.88","224,395,439.88","Industrials","2483074","US89531P1057","New York Stock Exchange Inc."
"FCFS","FIRSTCASH INC","Equity","0.52","87.84","2,547,452.00","223,768,183.68","223,768,183.68","Financials","BZCG9B4","US33767D1054","NASDAQ"
"SMTC","SEMTECH CORP","Equity","0.49","55.58","3,832,938.00","213,034,694.04","213,034,694.04","Information Technology","2795542","US8168501018","NASDAQ"
"SIGI","SELECTIVE INSURANCE GROUP INC","Equity","0.49","62.78","3,380,963.00","212,256,857.14","212,256,857.14","Financials","2766173","US8163001071","NASDAQ"
"IRBT","IROBOT CORP","Equity","0.47","125.55","1,621,204.00","203,542,162.20","203,542,162.20","Consumer Discretionary","B0J2NS5","US4627261005","NASDAQ"
"DAR","DARLING INGREDIENTS INC","Equity","0.47","21.12","9,630,812.00","203,402,749.44","203,402,749.44","Consumer Staples","2250289","US2372661015","New York Stock Exchange Inc."
"OMCL","OMNICELL INC","Equity","0.47","84.77","2,386,370.00","202,292,584.90","202,292,584.90","Health Care","2789523","US68213N1090","NASDAQ"
"MMSI","MERIT MEDICAL SYSTEMS INC","Equity","0.45","60.84","3,211,599.00","195,393,683.16","195,393,683.16","Health Care","2580555","US5898891040","NASDAQ"
"CCMP","CABOT MICROELECTRONICS CORP","Equity","0.45","115.30","1,693,818.00","195,297,215.40","195,297,215.40","Information Technology","2572381","US12709P1030","NASDAQ"
"GBCI","GLACIER BANCORP INC","Equity","0.45","39.51","4,928,811.00","194,737,322.61","194,737,322.61","Financials","2370585","US37637Q1058","NASDAQ"
"NEOG","NEOGEN CORP","Equity","0.45","63.97","3,041,309.00","194,552,536.73","194,552,536.73","Health Care","2630085","US6404911066","NASDAQ"
"LHCG","LHC GROUP INC","Equity","0.45","113.79","1,708,533.00","194,413,970.07","194,413,970.07","Health Care","B06DT50","US50187A1079","NASDAQ"
"TTEK","TETRA TECH INC","Equity","0.44","59.67","3,229,847.00","192,724,970.49","192,724,970.49","Industrials","2883890","US88162G1031","NASDAQ"
"WWW","WOLVERINE WORLD WIDE INC","Equity","0.44","35.96","5,353,699.00","192,519,016.04","192,519,016.04","Consumer Discretionary","2977500","US9780971035","New York Stock Exchange Inc."
"AAXN","AXON ENTERPRISE INC","Equity","0.43","54.54","3,434,694.00","187,328,210.76","187,328,210.76","Industrials","BDT5S35","US05464C1018","NASDAQ"
"MRCY","MERCURY SYSTEMS INC","Equity","0.42","64.59","2,829,164.00","182,735,702.76","182,735,702.76","Industrials","2144047","US5893781089","NASDAQ"
"PSB","PS BUSINESS PARKS REIT INC","Equity","0.42","155.42","1,167,735.00","181,489,373.70","181,489,373.70","Real Estate","2707956","US69360J1079","New York Stock Exchange Inc."
"BCPC","BALCHEM CORP","Equity","0.41","95.45","1,888,314.00","180,239,571.30","180,239,571.30","Materials","2072074","US0576652004","NASDAQ"
"CBU","COMMUNITY BANK SYSTEM INC","Equity","0.41","59.60","2,995,039.00","178,504,324.40","178,504,324.40","Financials","2222062","US2036071064","New York Stock Exchange Inc."
"GTLS","CHART INDUSTRIES INC","Equity","0.40","94.46","1,846,165.00","174,388,745.90","174,388,745.90","Industrials","B19HNF4","US16115Q3083","NASDAQ"
"EXPO","EXPONENT INC","Equity","0.40","57.74","3,013,452.00","173,996,718.48","173,996,718.48","Industrials","2330318","US30214U1025","NASDAQ"
"STRA","STRATEGIC EDUCATION INC","Equity","0.40","136.58","1,272,527.00","173,801,737.66","173,801,737.66","Consumer Discretionary","BGGJFV8","US86272C1036","NASDAQ"
"PDCE","PDC ENERGY INC","Equity","0.40","44.97","3,854,584.00","173,340,642.48","173,340,642.48","Energy","B89M5F2","US69327R1014","NASDAQ"
"ROG","ROGERS CORP","Equity","0.39","159.74","1,074,324.00","171,612,515.76","171,612,515.76","Information Technology","2746700","US7751331015","New York Stock Exchange Inc."
"SJI","S JERSEY INDS INC","Equity","0.39","31.64","5,402,243.00","170,926,968.52","170,926,968.52","Utilities","2825933","US8385181081","New York Stock Exchange Inc."
"JBT","JOHN BEAN TECHNOLOGIES CORP","Equity","0.39","93.05","1,836,610.00","170,896,560.50","170,896,560.50","Industrials","B3BRJZ8","US4778391049","New York Stock Exchange Inc."
"QLYS","QUALYS INC","Equity","0.39","86.18","1,981,847.00","170,795,574.46","170,795,574.46","Information Technology","B7XJTN8","US74758T3032","NASDAQ"
"PRLB","PROTO LABS INC","Equity","0.39","108.10","1,572,098.00","169,943,793.80","169,943,793.80","Industrials","B6T6J81","US7437131094","New York Stock Exchange Inc."
"MOGA","MOOG INC CLASS A","Equity","0.38","88.01","1,898,781.00","167,111,715.81","167,111,715.81","Industrials","2601218","US6153942023","New York Stock Exchange Inc."
"FCN","FTI CONSULTING INC","Equity","0.38","74.77","2,215,945.00","165,686,207.65","165,686,207.65","Industrials","2351449","US3029411093","New York Stock Exchange Inc."
"VIAV","VIAVI SOLUTIONS INC","Equity","0.38","12.35","13,344,462.00","164,804,105.70","164,804,105.70","Information Technology","BYXB201","US9255501051","NASDAQ"
"HMSY","HMS HOLDINGS CORP","Equity","0.38","32.89","4,982,814.00","163,884,752.46","163,884,752.46","Health Care","2418043","US40425J1016","NASDAQ"
"FNSR","FINISAR CORP","Equity","0.37","23.47","6,869,935.00","161,237,374.45","161,237,374.45","Information Technology","2517832","US31787A5074","NASDAQ"
"MNRO","MONRO INC","Equity","0.37","83.03","1,937,893.00","160,903,255.79","160,903,255.79","Consumer Discretionary","2600088","US6102361010","NASDAQ"
"KWR","QUAKER CHEMICAL CORP","Equity","0.37","205.62","780,719.00","160,531,440.78","160,531,440.78","Materials","2715186","US7473161070","New York Stock Exchange Inc."
"RLI","RLI CORP","Equity","0.37","70.23","2,284,716.00","160,455,604.68","160,455,604.68","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"SKYW","SKYWEST INC","Equity","0.37","53.01","3,022,484.00","160,221,876.84","160,221,876.84","Industrials","2814210","US8308791024","NASDAQ"
"HI","HILLENBRAND INC","Equity","0.37","43.40","3,660,063.00","158,846,734.20","158,846,734.20","Industrials","B2QGDP1","US4315711089","New York Stock Exchange Inc."
"KFY","KORN FERRY","Equity","0.36","47.49","3,317,653.00","157,555,340.97","157,555,340.97","Industrials","2386849","US5006432000","New York Stock Exchange Inc."
"FOXF","FOX FACTORY HOLDING CORP","Equity","0.36","70.82","2,212,960.00","156,721,827.20","156,721,827.20","Consumer Discretionary","BCRY5K3","US35138V1026","NASDAQ"
"AVA","AVISTA CORP","Equity","0.36","40.87","3,832,956.00","156,652,911.72","156,652,911.72","Utilities","2942605","US05379B1070","New York Stock Exchange Inc."
"AWR","AMERICAN STATES WATER","Equity","0.36","72.08","2,152,736.00","155,169,210.88","155,169,210.88","Utilities","2267171","US0298991011","New York Stock Exchange Inc."
"CWT","CALIFORNIA WATER SERVICE GROUP","Equity","0.35","54.58","2,808,971.00","153,313,637.18","153,313,637.18","Utilities","2165383","US1307881029","New York Stock Exchange Inc."
"IRDM","IRIDIUM COMMUNICATIONS INC","Equity","0.35","26.81","5,716,007.00","153,246,147.67","153,246,147.67","Communication","B2QH310","US46269C1027","NASDAQ"
"SHOO","STEVEN MADDEN LTD","Equity","0.35","33.29","4,576,569.00","152,353,982.01","152,353,982.01","Consumer Discretionary","2553911","US5562691080","NASDAQ"
"ITGR","INTEGER HOLDINGS CORP","Equity","0.35","86.88","1,751,379.00","152,159,807.52","152,159,807.52","Health Care","BD06LM7","US45826H1095","New York Stock Exchange Inc."
"B","BARNES GROUP INC","Equity","0.35","54.64","2,765,970.00","151,132,600.80","151,132,600.80","Industrials","2080732","US0678061096","New York Stock Exchange Inc."
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","Equity","0.35","28.57","5,271,459.00","150,605,583.63","150,605,583.63","Financials","2191300","US0256762065","New York Stock Exchange Inc."
"FUL","HB FULLER","Equity","0.34","50.12","2,977,440.00","149,229,292.80","149,229,292.80","Materials","2354664","US3596941068","New York Stock Exchange Inc."
"ADC","AGREE REALTY REIT CORP","Equity","0.34","67.71","2,200,119.00","148,970,057.49","148,970,057.49","Real Estate","2062161","US0084921008","New York Stock Exchange Inc."
"AJRD","AEROJET ROCKETDYNE HOLDINGS INC","Equity","0.34","35.05","4,209,745.00","147,551,562.25","147,551,562.25","Industrials","BWD7PX9","US0078001056","New York Stock Exchange Inc."
"RH","RH","Equity","0.34","135.39","1,087,954.00","147,298,092.06","147,298,092.06","Consumer Discretionary","BYXR425","US74967X1037","New York Stock Exchange Inc."
"ENSG","ENSIGN GROUP INC","Equity","0.34","50.67","2,900,298.00","146,958,099.66","146,958,099.66","Health Care","B1YWPP8","US29358P1012","NASDAQ"
"WLL","WHITING PETROLEUM CORP","Equity","0.33","27.39","5,308,258.00","145,393,186.62","145,393,186.62","Energy","BYWSWR0","US9663874090","New York Stock Exchange Inc."
"DORM","DORMAN PRODUCTS INC","Equity","0.33","84.82","1,700,258.00","144,215,883.56","144,215,883.56","Consumer Discretionary","2718594","US2582781009","NASDAQ"
"ONB","OLD NATIONAL BANCORP","Equity","0.33","16.33","8,820,318.00","144,035,792.94","144,035,792.94","Financials","2658441","US6800331075","NASDAQ"
"MYGN","MYRIAD GENETICS INC","Equity","0.33","33.52","4,273,073.00","143,233,406.96","143,233,406.96","Health Care","2614153","US62855J1043","NASDAQ"
"SSD","SIMPSON MANUFACTURING INC","Equity","0.33","59.84","2,363,492.00","141,431,361.28","141,431,361.28","Industrials","2809250","US8290731053","New York Stock Exchange Inc."
"FBP","FIRST BANCORP","Equity","0.32","11.16","12,648,717.00","141,159,681.72","141,159,681.72","Financials","2296926","PR3186727065","New York Stock Exchange Inc."
