Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
MSFT,MICROSOFT CORP,Equity,3.16,117.57,5005846,588537314.22,588537314.22,Information Technology,2588173,US5949181045,NASDAQ
AAPL,APPLE INC,Equity,2.95,188.02,2920875,549182917.5,549182917.5,Information Technology,2046251,US0378331005,NASDAQ
AMZN,AMAZON COM INC,Equity,2.51,1742.15,268853,468382253.95,468382253.95,Consumer Discretionary,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,1.34,160.47,1554806,249499718.82,249499718.82,Communication,B7TL820,US30303M1027,NASDAQ
GOOG,ALPHABET INC CLASS C,Equity,1.28,1184.26,200733,237720062.58,237720062.58,Communication,BYY88Y7,US02079K1079,NASDAQ
JNJ,JOHNSON & JOHNSON,Equity,1.28,137.17,1732595,237660056.15,237660056.15,Health Care,2475833,US4781601046,New York Stock Exchange Inc.
GOOGL,ALPHABET INC CLASS A,Equity,1.24,1188.55,194829,231564007.95,231564007.95,Communication,BYVY8G0,US02079K3059,NASDAQ
JPM,JPMORGAN CHASE & CO,Equity,1.23,107.19,2144570,229876458.3,229876458.3,Financials,2190385,US46625H1005,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,1.2,81.08,2763476,224062634.08,224062634.08,Energy,2326618,US30231G1022,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,0.95,154.96,1141895,176948049.2,176948049.2,Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,0.89,101.51,1632284,165693148.84,165693148.84,Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,0.86,255,626205,159682275,159682275,Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
INTC,INTEL CORP,Equity,0.85,54.1,2937429,158914908.9,158914908.9,Information Technology,2463247,US4581401001,NASDAQ
CVX,CHEVRON CORP,Equity,0.84,125.88,1239728,156056960.64,156056960.64,Energy,2838555,US1667641005,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,0.83,53.51,2872601,153712879.51,153712879.51,Information Technology,2198163,US17275R1023,NASDAQ
PFE,PFIZER INC,Equity,0.81,41.81,3602838,150634656.78,150634656.78,Health Care,2684703,US7170811035,New York Stock Exchange Inc.
T,AT&T INC,Equity,0.79,30.8,4752139,146365881.2,146365881.2,Communication,2831811,US00206R1023,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,0.74,51.73,2676825,138472157.25,138472157.25,Financials,2649100,US9497461015,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,0.73,81.35,1676501,136383356.35,136383356.35,Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.73,230.39,588917,135680587.63,135680587.63,Information Technology,B121557,US57636Q1040,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.72,183.42,736270,135046643.4,135046643.4,Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
BA,BOEING,Equity,0.69,372.28,342867,127642526.76,127642526.76,Industrials,2108601,US0970231058,New York Stock Exchange Inc.
CMCSA,COMCAST CORP CLASS A,Equity,0.63,39.92,2948940,117721684.8,117721684.8,Communication,2044545,US20030N1019,NASDAQ
KO,COCA-COLA,Equity,0.61,45.41,2507811,113879697.51,113879697.51,Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.59,113.12,971422,109887256.64,109887256.64,Communication,2270726,US2546871060,New York Stock Exchange Inc.
PEP,PEPSICO INC,Equity,0.58,117.27,916847,107518647.69,107518647.69,Consumer Staples,2681511,US7134481081,NASDAQ
NFLX,NETFLIX INC,Equity,0.55,363.44,284332,103337622.08,103337622.08,Communication,2857817,US64110L1061,NASDAQ
C,CITIGROUP INC,Equity,0.54,65.93,1538951,101463039.43,101463039.43,Financials,2297907,US1729674242,New York Stock Exchange Inc.
WMT,WALMART INC,Equity,0.5,99.66,927587,92443320.42,92443320.42,Consumer Staples,2936921,US9311421039,New York Stock Exchange Inc.
MCD,MCDONALDS CORP,Equity,0.49,183.95,498657,91727955.15,91727955.15,Consumer Discretionary,2550707,US5801351017,New York Stock Exchange Inc.
ABT,ABBOTT LABORATORIES,Equity,0.48,78.83,1144729,90238987.07,90238987.07,Health Care,2002305,US0028241000,New York Stock Exchange Inc.
ORCL,ORACLE CORP,Equity,0.48,53.46,1664957,89008601.22,89008601.22,Information Technology,2661568,US68389X1054,New York Stock Exchange Inc.
ADBE,ADOBE INC,Equity,0.44,257.76,318186,82015623.36,82015623.36,Information Technology,2008154,US00724F1012,NASDAQ
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.44,140.21,580933,81452615.93,81452615.93,Information Technology,2005973,US4592001014,New York Stock Exchange Inc.
DWDP,DOWDUPONT INC,Equity,0.44,55.21,1470559,81189562.39,81189562.39,Materials,BYP66M4,US26078J1007,New York Stock Exchange Inc.
CRM,SALESFORCE.COM INC,Equity,0.43,161.95,498063,80661302.85,80661302.85,Information Technology,2310525,US79466L3024,New York Stock Exchange Inc.
MDT,MEDTRONIC PLC,Equity,0.43,91.89,874896,80394193.44,80394193.44,Health Care,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
MMM,3M,Equity,0.42,208.49,376412,78478137.88,78478137.88,Industrials,2595708,US88579Y1010,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Equity,0.42,166.24,471640,78405433.6,78405433.6,Industrials,2914734,US9078181081,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,0.42,80.65,960145,77435694.25,77435694.25,Health Care,B92SR70,US00287Y1091,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.41,191.31,404024,77293831.44,77293831.44,Health Care,2023607,US0311621009,NASDAQ
PYPL,PAYPAL HOLDINGS INC,Equity,0.41,100.27,765094,76715975.38,76715975.38,Information Technology,BYW36M8,US70450Y1038,NASDAQ
HON,HONEYWELL INTERNATIONAL INC,Equity,0.4,156.93,479906,75311648.58,75311648.58,Industrials,2020459,US4385161066,New York Stock Exchange Inc.
LLY,ELI LILLY,Equity,0.4,125.24,597559,74838289.16,74838289.16,Health Care,2516152,US5324571083,New York Stock Exchange Inc.
NKE,NIKE INC CLASS B,Equity,0.39,87.82,820371,72044981.22,72044981.22,Consumer Discretionary,2640147,US6541061031,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,0.38,57.3,1222548,70052000.4,70052000.4,Consumer Staples,2692632,US02209S1033,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Equity,0.37,166.43,416527,69322588.61,69322588.61,Information Technology,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
TMO,THERMO FISHER SCIENTIFIC INC,Equity,0.37,263.53,262752,69243034.56,69243034.56,Health Care,2886907,US8835561023,New York Stock Exchange Inc.
COST,COSTCO WHOLESALE CORP,Equity,0.36,236.59,286773,67847624.07,67847624.07,Consumer Staples,2701271,US22160K1051,NASDAQ
TXN,TEXAS INSTRUMENT INC,Equity,0.36,109.81,617065,67759907.65,67759907.65,Information Technology,2885409,US8825081040,NASDAQ
UTX,UNITED TECHNOLOGIES CORP,Equity,0.36,126.9,528443,67059416.7,67059416.7,Industrials,2915500,US9130171096,New York Stock Exchange Inc.
NVDA,NVIDIA CORP,Equity,0.36,168.95,396002,66904537.9,66904537.9,Information Technology,2379504,US67066G1040,NASDAQ
NEE,NEXTERA ENERGY INC,Equity,0.32,190.87,312708,59686575.96,59686575.96,Utilities,2328915,US65339F1012,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Equity,0.31,10.2,5672332,57857786.4,57857786.4,Industrials,2380498,US3696041033,New York Stock Exchange Inc.
SBUX,STARBUCKS CORP,Equity,0.31,70.84,809072,57314660.48,57314660.48,Consumer Discretionary,2842255,US8552441094,NASDAQ
GILD,GILEAD SCIENCES INC,Equity,0.29,65.02,826748,53755154.96,53755154.96,Health Care,2369174,US3755581036,NASDAQ
