Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"JNJ","JOHNSON & JOHNSON","Equity","1.40","138.02","1,962,282.00","270,834,161.64","270,834,161.64","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.29","80.44","3,096,467.00","249,079,805.48","249,079,805.48","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.90","41.19","4,240,605.00","174,670,519.95","174,670,519.95","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.90","124.60","1,392,206.00","173,468,867.60","173,468,867.60","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.80","81.49","1,902,490.00","155,033,910.10","155,033,910.10","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.79","181.61","842,425.00","152,992,804.25","152,992,804.25","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"DWDP","DOWDUPONT INC","Equity","0.48","55.03","1,678,626.00","92,374,788.78","92,374,788.78","Materials","BYP66M4","US26078J1007","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.48","93.33","989,361.00","92,337,062.13","92,337,062.13","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"MMM","3M","Equity","0.45","207.38","416,841.00","86,444,486.58","86,444,486.58","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.41","123.08","644,333.00","79,304,505.64","79,304,505.64","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.40","261.43","292,628.00","76,501,738.04","76,501,738.04","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.29","67.02","840,964.00","56,361,407.28","56,361,407.28","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","0.25","252.26","193,293.00","48,760,092.18","48,760,092.18","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"SYK","STRYKER CORP","Equity","0.25","193.35","249,191.00","48,181,079.85","48,181,079.85","Health Care","2853688","US8636671013","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.24","52.10","903,404.00","47,067,348.40","47,067,348.40","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","0.24","90.36","520,304.00","47,014,669.44","47,014,669.44","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","0.23","135.40","334,593.00","45,303,892.20","45,303,892.20","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","0.22","76.64","554,432.00","42,491,668.48","42,491,668.48","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","0.20","51.53","751,147.00","38,706,604.91","38,706,604.91","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"EOG","EOG RESOURCES INC","Equity","0.20","89.69","421,831.00","37,834,022.39","37,834,022.39","Energy","2318024","US26875P1012","New York Stock Exchange Inc."
"DE","DEERE","Equity","0.19","157.76","236,122.00","37,250,606.72","37,250,606.72","Industrials","2261203","US2441991054","New York Stock Exchange Inc."
"NSC","NORFOLK SOUTHERN CORP","Equity","0.18","178.99","198,701.00","35,565,491.99","35,565,491.99","Industrials","2641894","US6558441084","New York Stock Exchange Inc."
"EXC","EXELON CORP","Equity","0.18","49.62","703,765.00","34,920,819.30","34,920,819.30","Utilities","2670519","US30161N1019","New York Stock Exchange Inc."
"FDX","FEDEX CORP","Equity","0.17","179.08","178,112.00","31,896,296.96","31,896,296.96","Industrials","2142784","US31428X1063","New York Stock Exchange Inc."
"NOW","SERVICENOW INC","Equity","0.16","241.59","129,625.00","31,316,103.75","31,316,103.75","Information Technology","B80NXX8","US81762P1021","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.16","67.48","457,793.00","30,891,871.64","30,891,871.64","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","0.16","72.86","422,861.00","30,809,652.46","30,809,652.46","Financials","2705024","US7433151039","New York Stock Exchange Inc."
"PSX","PHILLIPS","Equity","0.16","98.47","304,598.00","29,993,765.06","29,993,765.06","Energy","B78C4Y8","US7185461040","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.14","44.84","616,371.00","27,638,075.64","27,638,075.64","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"ROP","ROPER TECHNOLOGIES INC","Equity","0.12","325.46","73,700.00","23,986,402.00","23,986,402.00","Industrials","2749602","US7766961061","New York Stock Exchange Inc."
"F","F MOTOR","Equity","0.12","8.41","2,847,137.00","23,944,422.17","23,944,422.17","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"SYY","SYSCO CORP","Equity","0.12","66.12","347,586.00","22,982,386.32","22,982,386.32","Consumer Staples","2868165","US8718291078","New York Stock Exchange Inc."
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.11","59.64","367,883.00","21,940,542.12","21,940,542.12","Utilities","2707677","US7445731067","New York Stock Exchange Inc."
"MCO","MOODYS CORP","Equity","0.11","174.98","121,306.00","21,226,123.88","21,226,123.88","Financials","2252058","US6153691059","New York Stock Exchange Inc."
"WELL","WELLTOWER INC","Equity","0.11","77.88","271,411.00","21,137,488.68","21,137,488.68","Real Estate","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"OKE","ONEOK INC","Equity","0.10","67.12","299,754.00","20,119,488.48","20,119,488.48","Energy","2130109","US6826801036","New York Stock Exchange Inc."
"VFC","VF CORP","Equity","0.10","84.94","235,926.00","20,039,554.44","20,039,554.44","Consumer Discretionary","2928683","US9182041080","New York Stock Exchange Inc."
"GLW","CORNING INC","Equity","0.10","34.22","580,291.00","19,857,558.02","19,857,558.02","Information Technology","2224701","US2193501051","New York Stock Exchange Inc."
"PPG","PPG INDUSTRIES INC","Equity","0.10","109.68","176,069.00","19,311,247.92","19,311,247.92","Materials","2698470","US6935061076","New York Stock Exchange Inc."
"ZBH","ZIMMER BIOMET HOLDINGS INC","Equity","0.09","122.94","147,850.00","18,176,679.00","18,176,679.00","Health Care","2783815","US98956P1021","New York Stock Exchange Inc."
"WEC","WEC ENERGY GROUP INC","Equity","0.09","77.62","230,138.00","17,863,311.56","17,863,311.56","Utilities","BYY8XK8","US92939U1060","New York Stock Exchange Inc."
"FTV","FORTIVE CORP","Equity","0.09","82.64","215,284.00","17,791,069.76","17,791,069.76","Industrials","BYT3MK1","US34959J1088","New York Stock Exchange Inc."
"CNC","CENTENE CORP","Equity","0.09","59.38","294,195.00","17,469,299.10","17,469,299.10","Health Care","2807061","US15135B1017","New York Stock Exchange Inc."
"PPL","PPL CORP","Equity","0.09","32.59","525,990.00","17,142,014.10","17,142,014.10","Utilities","2680905","US69351T1060","New York Stock Exchange Inc."
"CMI","CUMMINS INC","Equity","0.09","157.11","108,552.00","17,054,604.72","17,054,604.72","Industrials","2240202","US2310211063","New York Stock Exchange Inc."
"MCK","MCKESSON CORP","Equity","0.09","117.72","142,393.00","16,762,503.96","16,762,503.96","Health Care","2378534","US58155Q1031","New York Stock Exchange Inc."
"DTE","DTE ENERGY","Equity","0.09","124.38","132,481.00","16,477,986.78","16,477,986.78","Utilities","2280220","US2333311072","New York Stock Exchange Inc."
"ES","EVERSOURCE ENERGY","Equity","0.08","70.92","230,881.00","16,374,080.52","16,374,080.52","Utilities","BVVN4Q8","US30040W1080","New York Stock Exchange Inc."
"FLT","FLEETCOR TECHNOLOGIES INC","Equity","0.08","236.60","64,116.00","15,169,845.60","15,169,845.60","Information Technology","B4R28B3","US3390411052","New York Stock Exchange Inc."
"CLX","CLOROX","Equity","0.08","159.83","93,421.00","14,931,478.43","14,931,478.43","Consumer Staples","2204026","US1890541097","New York Stock Exchange Inc."
"CXO","CONCHO RESOURCES INC","Equity","0.08","103.72","142,237.00","14,752,821.64","14,752,821.64","Energy","B1YWRK7","US20605P1012","New York Stock Exchange Inc."
"FE","FIRSTENERGY CORP","Equity","0.08","41.21","353,723.00","14,576,924.83","14,576,924.83","Utilities","2100920","US3379321074","New York Stock Exchange Inc."
"KR","KROGER","Equity","0.07","24.75","577,130.00","14,283,967.50","14,283,967.50","Consumer Staples","2497406","US5010441013","New York Stock Exchange Inc."
"NUE","NUCOR CORP","Equity","0.07","58.82","231,424.00","13,612,359.68","13,612,359.68","Materials","2651086","US6703461052","New York Stock Exchange Inc."
"DXC","DXC TECHNOLOGY","Equity","0.07","65.32","203,750.00","13,308,950.00","13,308,950.00","Information Technology","BYXD7B3","US23355L1061","New York Stock Exchange Inc."
"KEY","KEYCORP","Equity","0.07","17.42","750,964.00","13,081,792.88","13,081,792.88","Financials","2490911","US4932671088","New York Stock Exchange Inc."
"NEM","NEWMONT MINING CORP","Equity","0.07","33.42","390,418.00","13,047,769.56","13,047,769.56","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"RSG","REPUBLIC SERVICES INC","Equity","0.07","78.93","159,388.00","12,580,494.84","12,580,494.84","Industrials","2262530","US7607591002","New York Stock Exchange Inc."
"ETR","ENTERGY CORP","Equity","0.06","94.94","131,595.00","12,493,629.30","12,493,629.30","Utilities","2317087","US29364G1031","New York Stock Exchange Inc."
"MKC","MCCORMICK & CO NON-VOTING INC","Equity","0.06","139.46","89,241.00","12,445,549.86","12,445,549.86","Consumer Staples","2550161","US5797802064","New York Stock Exchange Inc."
"OMC","OMNICOM GROUP INC","Equity","0.06","75.64","162,692.00","12,306,022.88","12,306,022.88","Communication","2279303","US6819191064","New York Stock Exchange Inc."
"MSCI","MSCI INC","Equity","0.06","186.81","63,847.00","11,927,258.07","11,927,258.07","Financials","B2972D2","US55354G1004","New York Stock Exchange Inc."
"BBY","BEST BUY INC","Equity","0.06","68.85","171,937.00","11,837,862.45","11,837,862.45","Consumer Discretionary","2094670","US0865161014","New York Stock Exchange Inc."
"LLL","L3 TECHNOLOGIES INC","Equity","0.06","206.07","57,365.00","11,821,205.55","11,821,205.55","Industrials","BYZGYC0","US5024131071","New York Stock Exchange Inc."
"LNG","CHENIERE ENERGY INC","Equity","0.06","69.19","167,891.00","11,616,378.29","11,616,378.29","Energy","2654364","US16411R2085","Nyse Mkt Llc"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.06","85.33","135,575.00","11,568,614.75","11,568,614.75","Information Technology","BQZJ0Q9","US49338L1035","New York Stock Exchange Inc."
