Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"V","VISA INC CLASS A","Equity","1.68","153.75","2,613,002.00","401,749,057.50","401,749,057.50","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","1.58","100.80","3,740,014.00","376,993,411.20","376,993,411.20","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"NEM","NEWMONT MINING CORP","Equity","1.50","33.87","10,592,580.00","358,770,684.60","358,770,684.60","Materials","2636607","US6516391066","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","1.44","184.97","1,860,492.00","344,135,205.24","344,135,205.24","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.41","42.17","8,005,881.00","337,608,001.77","337,608,001.77","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","1.39","118.32","2,815,707.00","333,154,452.24","333,154,452.24","Consumer Staples","2681511","US7134481081","NASDAQ"
"FISV","FISERV INC","Equity","1.38","83.73","3,927,753.00","328,870,758.69","328,870,758.69","Information Technology","2342034","US3377381088","NASDAQ"
"RSG","REPUBLIC SERVICES INC","Equity","1.37","78.41","4,175,589.00","327,407,933.49","327,407,933.49","Industrials","2262530","US7607591002","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.37","137.29","2,379,626.00","326,698,853.54","326,698,853.54","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","1.35","57.67","5,592,676.00","322,529,624.92","322,529,624.92","Communication","2090571","US92343V1044","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","1.34","45.53","7,057,430.00","321,324,787.90","321,324,787.90","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"NEE","NEXTERA ENERGY INC","Equity","1.29","189.87","1,627,760.00","309,062,791.20","309,062,791.20","Utilities","2328915","US65339F1012","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC CLASS A","Equity","1.29","166.27","1,857,090.00","308,778,354.30","308,778,354.30","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"ED","CONSOLIDATED EDISON INC","Equity","1.18","83.84","3,363,260.00","281,975,718.40","281,975,718.40","Utilities","2216850","US2091151041","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","1.17","52.54","5,346,786.00","280,920,136.44","280,920,136.44","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"DUK","DUKE ENERGY CORP","Equity","1.11","89.38","2,979,588.00","266,315,575.44","266,315,575.44","Utilities","B7VD3F2","US26441C2044","New York Stock Exchange Inc."
"MSI","MOTOROLA SOLUTIONS INC","Equity","1.11","138.70","1,906,630.00","264,449,581.00","264,449,581.00","Information Technology","B5BKPQ4","US6200763075","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.08","101.72","2,545,867.00","258,965,591.24","258,965,591.24","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"XEL","XCEL ENERGY INC","Equity","1.08","55.83","4,633,688.00","258,698,801.04","258,698,801.04","Utilities","2614807","US98389B1008","NASDAQ"
"MRK","MERCK & CO INC","Equity","1.08","82.08","3,148,725.00","258,447,348.00","258,447,348.00","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","1.08","295.98","871,890.00","258,062,002.20","258,062,002.20","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"SO","SOUTHERN","Equity","1.06","51.18","4,955,044.00","253,599,151.92","253,599,151.92","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.05","81.32","3,100,115.00","252,101,351.80","252,101,351.80","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","1.02","180.02","1,352,869.00","243,543,477.38","243,543,477.38","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"PSA","PUBLIC STORAGE REIT","Equity","1.01","218.85","1,098,848.00","240,482,884.80","240,482,884.80","Real Estate","2852533","US74460D1090","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","1.00","129.74","1,838,142.00","238,480,543.08","238,480,543.08","Health Care","2250870","US2358511028","New York Stock Exchange Inc."
"SYK","STRYKER CORP","Equity","0.99","197.14","1,197,386.00","236,052,676.04","236,052,676.04","Health Care","2853688","US8636671013","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.98","30.51","7,664,269.00","233,836,847.19","233,836,847.19","Communication","2831811","US00206R1023","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.96","229.89","1,002,143.00","230,382,654.27","230,382,654.27","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","0.96","10.27","22,410,025.00","230,150,956.75","230,150,956.75","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.95","53.26","4,287,419.00","228,347,935.94","228,347,935.94","Information Technology","2198163","US17275R1023","NASDAQ"
"UNH","UNITEDHEALTH GROUP INC","Equity","0.94","250.50","899,130.00","225,232,065.00","225,232,065.00","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.94","91.72","2,446,579.00","224,400,225.88","224,400,225.88","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"MSFT","MICROSOFT CORP","Equity","0.94","117.52","1,902,962.00","223,636,094.24","223,636,094.24","Information Technology","2588173","US5949181045","NASDAQ"
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.92","196.66","1,120,627.00","220,382,505.82","220,382,505.82","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.92","125.76","1,743,743.00","219,293,119.68","219,293,119.68","Real Estate","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","0.92","134.72","1,624,598.00","218,865,842.56","218,865,842.56","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity","0.90","106.75","2,010,143.00","214,582,765.25","214,582,765.25","Information Technology","2769796","US31620M1062","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","0.90","78.43","2,730,316.00","214,138,683.88","214,138,683.88","Information Technology","2674458","US7043261079","NASDAQ"
"APH","AMPHENOL CORP CLASS A","Equity","0.88","95.21","2,214,038.00","210,798,557.98","210,798,557.98","Information Technology","2145084","US0320951017","New York Stock Exchange Inc."
"JKHY","JACK HENRY ANS ASSOCIATES INC","Equity","0.82","135.06","1,456,613.00","196,730,151.78","196,730,151.78","Information Technology","2469193","US4262811015","NASDAQ"
"HD","HOME DEPOT INC","Equity","0.81","186.10","1,038,481.00","193,261,314.10","193,261,314.10","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"YUM","YUM BRANDS INC","Equity","0.80","98.57","1,945,376.00","191,755,712.32","191,755,712.32","Consumer Discretionary","2098876","US9884981013","New York Stock Exchange Inc."
"MKC","MCCORMICK & CO NON-VOTING INC","Equity","0.78","139.39","1,335,768.00","186,192,701.52","186,192,701.52","Consumer Staples","2550161","US5797802064","New York Stock Exchange Inc."
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.78","73.62","2,522,052.00","185,673,468.24","185,673,468.24","Real Estate","2319157","US29476L1070","New York Stock Exchange Inc."
"AGNC","AGNC INVESTMENT REIT CORP","Equity","0.78","17.99","10,306,148.00","185,407,602.52","185,407,602.52","Financials","BYYHJL8","US00123Q1040","NASDAQ"
"BAX","BAXTER INTERNATIONAL INC","Equity","0.77","77.18","2,373,286.00","183,170,213.48","183,170,213.48","Health Care","2085102","US0718131099","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.75","31.98","5,606,751.00","179,303,896.98","179,303,896.98","Financials","2740542","BMG0450A1053","NASDAQ"
"MO","ALTRIA GROUP INC","Equity","0.74","55.72","3,178,668.00","177,115,380.96","177,115,380.96","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.72","109.99","1,560,003.00","171,584,729.97","171,584,729.97","Communication","2270726","US2546871060","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.71","128.16","1,333,313.00","170,877,394.08","170,877,394.08","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"AON","AON PLC CLASS A","Equity","0.71","165.71","1,024,648.00","169,794,420.08","169,794,420.08","Financials","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
"AFL","AFLAC INC","Equity","0.70","49.46","3,386,629.00","167,502,670.34","167,502,670.34","Financials","2026361","US0010551028","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.69","92.18","1,779,388.00","164,023,985.84","164,023,985.84","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"ROST","ROSS STORES INC","Equity","0.68","91.51","1,775,144.00","162,443,427.44","162,443,427.44","Consumer Discretionary","2746711","US7782961038","NASDAQ"
"ECL","ECOLAB INC","Equity","0.66","174.47","910,129.00","158,790,206.63","158,790,206.63","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"O","REALTY INCOME REIT CORP","Equity","0.66","70.74","2,241,367.00","158,554,301.58","158,554,301.58","Real Estate","2724193","US7561091049","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","0.65","987.88","156,291.00","154,396,753.08","154,396,753.08","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"WEC","WEC ENERGY GROUP INC","Equity","0.64","77.74","1,966,234.00","152,855,031.16","152,855,031.16","Utilities","BYY8XK8","US92939U1060","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","0.63","82.77","1,829,045.00","151,390,054.65","151,390,054.65","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"DG","DOLLAR GENERAL CORP","Equity","0.63","117.13","1,284,256.00","150,424,905.28","150,424,905.28","Consumer Discretionary","B5B1S13","US2566771059","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.63","191.54","781,521.00","149,692,532.34","149,692,532.34","Real Estate","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","0.62","203.27","732,864.00","148,969,265.28","148,969,265.28","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","0.62","243.15","608,515.00","147,960,422.25","147,960,422.25","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"ALL","ALLSTATE CORP","Equity","0.61","93.04","1,569,696.00","146,044,515.84","146,044,515.84","Financials","2019952","US0200021014","New York Stock Exchange Inc."
"WMT","WALMART INC","Equity","0.61","98.64","1,475,297.00","145,523,296.08","145,523,296.08","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"PGR","PROGRESSIVE CORP","Equity","0.60","72.01","1,991,740.00","143,425,197.40","143,425,197.40","Financials","2705024","US7433151039","New York Stock Exchange Inc."
