format=1 tracks=10 division=480
BA 1 CR 0 TR 1 CH 2 NT F 1+7/60 von=127
BA 1 CR 0 TR 1 CH 2 Instrument 94
BA 1 CR 0 TR 1 CH 2 Channel volume 98
BA 1 CR 0 TR 1 CH 2 ST &B1 &0A &56
BA 1 CR 0 TR 2 CH 3 Instrument 31
BA 1 CR 0 TR 2 CH 3 NT F-- 1+17/60 von=127
BA 1 CR 0 TR 2 CH 3 Channel volume 120
BA 1 CR 0 TR 3 CH 5 NT C 5/8 von=127
BA 1 CR 0 TR 3 CH 5 ST &B4 &0A &28
BA 1 CR 0 TR 4 CH 4 Instrument 33
BA 1 CR 0 TR 4 CH 4 NT F'' 5/8 von=127
BA 1 CR 0 TR 4 CH 4 ST &B3 &0A &2A
BA 1 CR 0 TR 4 CH 4 Channel volume 94
BA 1 CR 0 TR 8 CH 10 Instrument 8
BA 1 CR 0 TR 8 CH 10 NT C-- 3/16 von=127
BA 1 CR 0 TR 8 CH 10 Channel volume 127
BA 1 CR 0 TR 9 CH 10 NT F#-- 5/8 von=127
BA 1 CR 1/240 TR 9 CH 10 Instrument 23
BA 1 CR 1+23/240 TR 9 CH 10 NT F#-- 5/8
BA 1 CR 1+9/80 TR 4 CH 4 NT F'' 5/8
BA 1 CR 1+13/80 TR 1 CH 2 NT G# 193/240
BA 1 CR 1+1/2 TR 2 CH 3 NT F-- 7/48
BA 1 CR 1+1/2 TR 8 CH 10 NT C-- 3/16
BA 1 CR 1+3/4 TR 2 CH 3 NT G-- 7/48
BA 1 CR 2 TR 1 CH 2 NT G 1/2
BA 1 CR 2 TR 2 CH 3 NT G#-- 1+43/48
BA 1 CR 2 TR 4 CH 4 NT F'' 5/8
BA 1 CR 2 TR 8 CH 10 NT C-- 3/16
BA 1 CR 2 TR 9 CH 10 NT F#-- 5/8
BA 1 CR 2+119/480 TR 8 CH 10 Channel volume 127
BA 1 CR 2+1/2 TR 1 CH 2 NT Eb 1/2
BA 1 CR 3 TR 1 CH 2 NT C 1
BA 1 CR 3 TR 4 CH 4 NT F'' 5/8
BA 1 CR 3 TR 9 CH 10 NT F#-- 5/8
BA 2 CR 0 TR 1 CH 2 NT G 1
BA 2 CR 0 TR 2 CH 3 NT Eb-- 1+7/48
BA 2 CR 0 TR 4 CH 4 NT F'' 5/8
BA 2 CR 0 TR 8 CH 10 NT C-- 3/16
BA 2 CR 0 TR 9 CH 10 NT F#-- 5/8
BA 2 CR 1 TR 1 CH 2 NT G# 77/96
BA 2 CR 1 TR 4 CH 4 NT F'' 5/8
